place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
96097 Yreka,zcta,96097,Yreka,41.756147,-122.6594663,159015,,2016-04-30,10,0,Zillow ZIP-level market for Yreka; mapped with Census 2020 ZCTA 96097 in Siskiyou County.,,,,
96094 Weed,zcta,96094,Weed,41.5149223,-122.3509426,164304,,2016-04-30,10,0,Zillow ZIP-level market for Weed; mapped with Census 2020 ZCTA 96094 in Siskiyou County.,,,,
96067 Mount Shasta,zcta,96067,Mount Shasta,41.3168883,-122.3174473,265341,,2016-04-30,10,0,Zillow ZIP-level market for Mount Shasta; mapped with Census 2020 ZCTA 96067 in Siskiyou County.,,,,
96064 Montague,zcta,96064,Montague,41.7547029,-122.3656211,150990,,2016-04-30,10,0,Zillow ZIP-level market for Montague; mapped with Census 2020 ZCTA 96064 in Siskiyou County.,,,,
96032 Fort Jones,zcta,96032,Fort Jones,41.5851319,-122.9796311,174224,,2016-04-30,10,0,Zillow ZIP-level market for Fort Jones; mapped with Census 2020 ZCTA 96032 in Siskiyou County.,,,,
96058 Macdoel,zcta,96058,Macdoel,41.7270482,-121.9073692,103934,,2016-04-30,10,0,Zillow ZIP-level market for Macdoel; mapped with Census 2020 ZCTA 96058 in Siskiyou County.,,,,
96025 Dunsmuir,zcta,96025,Dunsmuir,41.2001359,-122.319045,135639,,2016-04-30,10,0,Zillow ZIP-level market for Dunsmuir; mapped with Census 2020 ZCTA 96025 in Siskiyou County.,,,,
96027 Etna,zcta,96027,Etna,41.3898765,-123.2310742,181757,,2016-04-30,10,0,Zillow ZIP-level market for Etna; mapped with Census 2020 ZCTA 96027 in Siskiyou County.,,,,
96023 Dorris,zcta,96023,Dorris,41.9090762,-121.9768456,88627,,2016-04-30,10,0,Zillow ZIP-level market for Dorris; mapped with Census 2020 ZCTA 96023 in Siskiyou County.,,,,
96044 Hornbrook,zcta,96044,Hornbrook,41.9330279,-122.6749668,131912,,2016-04-30,10,0,Zillow ZIP-level market for Hornbrook; mapped with Census 2020 ZCTA 96044 in Siskiyou County.,,,,
96039 Happy Camp,zcta,96039,Happy Camp,41.6689277,-123.3764165,103527,,2016-04-30,10,0,Zillow ZIP-level market for Happy Camp; mapped with Census 2020 ZCTA 96039 in Siskiyou County.,,,,
96050 Klamath River,zcta,96050,Klamath River,41.8534715,-122.9510152,184049,,2016-04-30,10,0,Zillow ZIP-level market for Klamath River; mapped with Census 2020 ZCTA 96050 in Siskiyou County.,,,,
96057 nan,zcta,96057,nan,41.2718586,-121.9196954,182417,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96057 in Siskiyou County.,,,,
96038 Grenada,zcta,96038,Grenada,41.6071001,-122.5457146,136334,,2016-04-30,10,0,Zillow ZIP-level market for Grenada; mapped with Census 2020 ZCTA 96038 in Siskiyou County.,,,,
96086 Seiad Valley,zcta,96086,Seiad Valley,41.924212,-123.2608091,155284,,2016-04-30,10,0,Zillow ZIP-level market for Seiad Valley; mapped with Census 2020 ZCTA 96086 in Siskiyou County.,,,,
96037 Etna,zcta,96037,Etna,41.5449224,-122.9209638,179994,,2016-04-30,10,0,Zillow ZIP-level market for Etna; mapped with Census 2020 ZCTA 96037 in Siskiyou County.,,,,
96097 Yreka,zcta,96097,Yreka,41.756147,-122.6594663,159411,,2016-05-31,10,0,Zillow ZIP-level market for Yreka; mapped with Census 2020 ZCTA 96097 in Siskiyou County.,,,,
96094 Weed,zcta,96094,Weed,41.5149223,-122.3509426,165609,,2016-05-31,10,0,Zillow ZIP-level market for Weed; mapped with Census 2020 ZCTA 96094 in Siskiyou County.,,,,
96067 Mount Shasta,zcta,96067,Mount Shasta,41.3168883,-122.3174473,265280,,2016-05-31,10,0,Zillow ZIP-level market for Mount Shasta; mapped with Census 2020 ZCTA 96067 in Siskiyou County.,,,,
96064 Montague,zcta,96064,Montague,41.7547029,-122.3656211,152374,,2016-05-31,10,0,Zillow ZIP-level market for Montague; mapped with Census 2020 ZCTA 96064 in Siskiyou County.,,,,
96032 Fort Jones,zcta,96032,Fort Jones,41.5851319,-122.9796311,175296,,2016-05-31,10,0,Zillow ZIP-level market for Fort Jones; mapped with Census 2020 ZCTA 96032 in Siskiyou County.,,,,
96058 Macdoel,zcta,96058,Macdoel,41.7270482,-121.9073692,104218,,2016-05-31,10,0,Zillow ZIP-level market for Macdoel; mapped with Census 2020 ZCTA 96058 in Siskiyou County.,,,,
96025 Dunsmuir,zcta,96025,Dunsmuir,41.2001359,-122.319045,135975,,2016-05-31,10,0,Zillow ZIP-level market for Dunsmuir; mapped with Census 2020 ZCTA 96025 in Siskiyou County.,,,,
