place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
93546 Mammoth Lakes,zcta,93546,Mammoth Lakes,37.5491262,-118.8398144,649587,,2016-04-30,10,0,Zillow ZIP-level market for Mammoth Lakes; mapped with Census 2020 ZCTA 93546 in Mono County.,,,,
93541 nan,zcta,93541,nan,38.0186456,-119.0597265,255970,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 93541 in Mono County.,,,,
96107 Coleville,zcta,96107,Coleville,38.4082772,-119.5480747,228975,,2016-04-30,10,0,Zillow ZIP-level market for Coleville; mapped with Census 2020 ZCTA 96107 in Mono County.,,,,
93517 Bridgeport,zcta,93517,Bridgeport,38.2780771,-119.2748086,274478,,2016-04-30,10,0,Zillow ZIP-level market for Bridgeport; mapped with Census 2020 ZCTA 93517 in Mono County.,,,,
93529 June Lake,zcta,93529,June Lake,37.7777065,-119.1881016,447519,,2016-04-30,10,0,Zillow ZIP-level market for June Lake; mapped with Census 2020 ZCTA 93529 in Mono County.,,,,
93546 Mammoth Lakes,zcta,93546,Mammoth Lakes,37.5491262,-118.8398144,652837,,2016-05-31,10,0,Zillow ZIP-level market for Mammoth Lakes; mapped with Census 2020 ZCTA 93546 in Mono County.,,,,
93541 nan,zcta,93541,nan,38.0186456,-119.0597265,257117,,2016-05-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 93541 in Mono County.,,,,
96107 Coleville,zcta,96107,Coleville,38.4082772,-119.5480747,230930,,2016-05-31,10,0,Zillow ZIP-level market for Coleville; mapped with Census 2020 ZCTA 96107 in Mono County.,,,,
93517 Bridgeport,zcta,93517,Bridgeport,38.2780771,-119.2748086,274824,,2016-05-31,10,0,Zillow ZIP-level market for Bridgeport; mapped with Census 2020 ZCTA 93517 in Mono County.,,,,
93529 June Lake,zcta,93529,June Lake,37.7777065,-119.1881016,450342,,2016-05-31,10,0,Zillow ZIP-level market for June Lake; mapped with Census 2020 ZCTA 93529 in Mono County.,,,,
93546 Mammoth Lakes,zcta,93546,Mammoth Lakes,37.5491262,-118.8398144,654657,,2016-06-30,10,0,Zillow ZIP-level market for Mammoth Lakes; mapped with Census 2020 ZCTA 93546 in Mono County.,,,,
93541 nan,zcta,93541,nan,38.0186456,-119.0597265,258084,,2016-06-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 93541 in Mono County.,,,,
96107 Coleville,zcta,96107,Coleville,38.4082772,-119.5480747,232155,,2016-06-30,10,0,Zillow ZIP-level market for Coleville; mapped with Census 2020 ZCTA 96107 in Mono County.,,,,
93517 Bridgeport,zcta,93517,Bridgeport,38.2780771,-119.2748086,275630,,2016-06-30,10,0,Zillow ZIP-level market for Bridgeport; mapped with Census 2020 ZCTA 93517 in Mono County.,,,,
93529 June Lake,zcta,93529,June Lake,37.7777065,-119.1881016,452460,,2016-06-30,10,0,Zillow ZIP-level market for June Lake; mapped with Census 2020 ZCTA 93529 in Mono County.,,,,
93546 Mammoth Lakes,zcta,93546,Mammoth Lakes,37.5491262,-118.8398144,654123,,2016-07-31,10,0,Zillow ZIP-level market for Mammoth Lakes; mapped with Census 2020 ZCTA 93546 in Mono County.,,,,
93541 nan,zcta,93541,nan,38.0186456,-119.0597265,259551,,2016-07-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 93541 in Mono County.,,,,
96107 Coleville,zcta,96107,Coleville,38.4082772,-119.5480747,232133,,2016-07-31,10,0,Zillow ZIP-level market for Coleville; mapped with Census 2020 ZCTA 96107 in Mono County.,,,,
93517 Bridgeport,zcta,93517,Bridgeport,38.2780771,-119.2748086,277915,,2016-07-31,10,0,Zillow ZIP-level market for Bridgeport; mapped with Census 2020 ZCTA 93517 in Mono County.,,,,
93529 June Lake,zcta,93529,June Lake,37.7777065,-119.1881016,451880,,2016-07-31,10,0,Zillow ZIP-level market for June Lake; mapped with Census 2020 ZCTA 93529 in Mono County.,,,,
93546 Mammoth Lakes,zcta,93546,Mammoth Lakes,37.5491262,-118.8398144,654515,,2016-08-31,10,0,Zillow ZIP-level market for Mammoth Lakes; mapped with Census 2020 ZCTA 93546 in Mono County.,,,,
93541 nan,zcta,93541,nan,38.0186456,-119.0597265,261476,,2016-08-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 93541 in Mono County.,,,,
