place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95355 Modesto,zcta,95355,Modesto,37.672906,-120.946594,279746,1180,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95355 in Stanislaus County.,,1180,Zillow ZORI,
95350 Modesto,zcta,95350,Modesto,37.6717296,-121.0072847,226745,,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95350 in Stanislaus County.,,,,
95351 Modesto,zcta,95351,Modesto,37.6241243,-120.9973187,175002,,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95351 in Stanislaus County.,,,,
95307 Ceres,zcta,95307,Ceres,37.5558092,-120.9538524,239387,,2016-04-30,10,0,Zillow ZIP-level market for Ceres; mapped with Census 2020 ZCTA 95307 in Stanislaus County.,,,,
95380 Turlock,zcta,95380,Turlock,37.4742296,-120.8752475,250939,,2016-04-30,10,0,Zillow ZIP-level market for Turlock; mapped with Census 2020 ZCTA 95380 in Stanislaus County.,,,,
95382 Turlock,zcta,95382,Turlock,37.5275576,-120.8511059,309932,,2016-04-30,10,0,Zillow ZIP-level market for Turlock; mapped with Census 2020 ZCTA 95382 in Stanislaus County.,,,,
95356 Modesto,zcta,95356,Modesto,37.7185727,-121.0323086,316153,,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95356 in Stanislaus County.,,,,
95361 Oakdale,zcta,95361,Oakdale,37.7921901,-120.7856623,327387,,2016-04-30,10,0,Zillow ZIP-level market for Oakdale; mapped with Census 2020 ZCTA 95361 in Stanislaus County.,,,,
95358 Modesto,zcta,95358,Modesto,37.6116343,-121.1078579,220802,,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95358 in Stanislaus County.,,,,
95363 Patterson,zcta,95363,Patterson,37.3738877,-121.2514534,281801,,2016-04-30,10,0,Zillow ZIP-level market for Patterson; mapped with Census 2020 ZCTA 95363 in Stanislaus County.,,,,
95354 Modesto,zcta,95354,Modesto,37.6390292,-120.9647723,201055,,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95354 in Stanislaus County.,,,,
95367 Riverbank,zcta,95367,Riverbank,37.7297,-120.9467584,269036,,2016-04-30,10,0,Zillow ZIP-level market for Riverbank; mapped with Census 2020 ZCTA 95367 in Stanislaus County.,,,,
95357 Modesto,zcta,95357,Modesto,37.6711526,-120.8862676,284009,,2016-04-30,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95357 in Stanislaus County.,,,,
95360 Newman,zcta,95360,Newman,37.3260021,-121.0388906,230262,,2016-04-30,10,0,Zillow ZIP-level market for Newman; mapped with Census 2020 ZCTA 95360 in Stanislaus County.,,,,
95326 Hughson,zcta,95326,Hughson,37.5890984,-120.8554355,313557,,2016-04-30,10,0,Zillow ZIP-level market for Hughson; mapped with Census 2020 ZCTA 95326 in Stanislaus County.,,,,
95368 Salida,zcta,95368,Salida,37.7132691,-121.0854039,276125,,2016-04-30,10,0,Zillow ZIP-level market for Salida; mapped with Census 2020 ZCTA 95368 in Stanislaus County.,,,,
95386 Waterford,zcta,95386,Waterford,37.6672896,-120.6220922,225687,,2016-04-30,10,0,Zillow ZIP-level market for Waterford; mapped with Census 2020 ZCTA 95386 in Stanislaus County.,,,,
95316 Denair,zcta,95316,Denair,37.5396252,-120.6686888,318684,,2016-04-30,10,0,Zillow ZIP-level market for Denair; mapped with Census 2020 ZCTA 95316 in Stanislaus County.,,,,
95328 Keyes,zcta,95328,Keyes,37.5580365,-120.9094153,215614,,2016-04-30,10,0,Zillow ZIP-level market for Keyes; mapped with Census 2020 ZCTA 95328 in Stanislaus County.,,,,
95230 Farmington,zcta,95230,Farmington,37.9976496,-120.8946819,422756,,2016-04-30,10,0,Zillow ZIP-level market for Farmington; mapped with Census 2020 ZCTA 95230 in Stanislaus County.,,,,
95329 La Grange,zcta,95329,La Grange,37.67763,-120.4180501,245120,,2016-04-30,10,0,Zillow ZIP-level market for La Grange; mapped with Census 2020 ZCTA 95329 in Stanislaus County.,,,,
95313 Crows Landing,zcta,95313,Crows Landing,37.4179585,-121.0510417,416904,,2016-04-30,10,0,Zillow ZIP-level market for Crows Landing; mapped with Census 2020 ZCTA 95313 in Stanislaus County.,,,,
95323 Hickman,zcta,95323,Hickman,37.6045359,-120.6836897,329877,,2016-04-30,10,0,Zillow ZIP-level market for Hickman; mapped with Census 2020 ZCTA 95323 in Stanislaus County.,,,,
95319 Empire,zcta,95319,Empire,37.6290045,-120.885131,155380,,2016-04-30,10,0,Zillow ZIP-level market for Empire; mapped with Census 2020 ZCTA 95319 in Stanislaus County.,,,,
95355 Modesto,zcta,95355,Modesto,37.672906,-120.946594,280730,1195,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95355 in Stanislaus County.,,1195,Zillow ZORI,
95350 Modesto,zcta,95350,Modesto,37.6717296,-121.0072847,227700,,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95350 in Stanislaus County.,,,,
95351 Modesto,zcta,95351,Modesto,37.6241243,-120.9973187,176454,,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95351 in Stanislaus County.,,,,
95307 Ceres,zcta,95307,Ceres,37.5558092,-120.9538524,240624,,2016-05-31,10,0,Zillow ZIP-level market for Ceres; mapped with Census 2020 ZCTA 95307 in Stanislaus County.,,,,
95380 Turlock,zcta,95380,Turlock,37.4742296,-120.8752475,251059,,2016-05-31,10,0,Zillow ZIP-level market for Turlock; mapped with Census 2020 ZCTA 95380 in Stanislaus County.,,,,
95382 Turlock,zcta,95382,Turlock,37.5275576,-120.8511059,310611,,2016-05-31,10,0,Zillow ZIP-level market for Turlock; mapped with Census 2020 ZCTA 95382 in Stanislaus County.,,,,
95356 Modesto,zcta,95356,Modesto,37.7185727,-121.0323086,316906,,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95356 in Stanislaus County.,,,,
95361 Oakdale,zcta,95361,Oakdale,37.7921901,-120.7856623,328085,,2016-05-31,10,0,Zillow ZIP-level market for Oakdale; mapped with Census 2020 ZCTA 95361 in Stanislaus County.,,,,
95358 Modesto,zcta,95358,Modesto,37.6116343,-121.1078579,222385,,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95358 in Stanislaus County.,,,,
95363 Patterson,zcta,95363,Patterson,37.3738877,-121.2514534,282330,,2016-05-31,10,0,Zillow ZIP-level market for Patterson; mapped with Census 2020 ZCTA 95363 in Stanislaus County.,,,,
95354 Modesto,zcta,95354,Modesto,37.6390292,-120.9647723,202285,,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95354 in Stanislaus County.,,,,
95367 Riverbank,zcta,95367,Riverbank,37.7297,-120.9467584,270709,,2016-05-31,10,0,Zillow ZIP-level market for Riverbank; mapped with Census 2020 ZCTA 95367 in Stanislaus County.,,,,
95357 Modesto,zcta,95357,Modesto,37.6711526,-120.8862676,284835,,2016-05-31,10,0,Zillow ZIP-level market for Modesto; mapped with Census 2020 ZCTA 95357 in Stanislaus County.,,,,
95360 Newman,zcta,95360,Newman,37.3260021,-121.0388906,231372,,2016-05-31,10,0,Zillow ZIP-level market for Newman; mapped with Census 2020 ZCTA 95360 in Stanislaus County.,,,,
