place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95403 Santa Rosa,zcta,95403,Santa Rosa,38.5036845,-122.7540566,533443,,2016-04-30,10,0,Zillow ZIP-level market for Santa Rosa; mapped with Census 2020 ZCTA 95403 in Sonoma County.,,,,
95407 Santa Rosa,zcta,95407,Santa Rosa,38.3946561,-122.7459317,459747,,2016-04-30,10,0,Zillow ZIP-level market for Santa Rosa; mapped with Census 2020 ZCTA 95407 in Sonoma County.,,,,
95404 Santa Rosa,zcta,95404,Santa Rosa,38.5257333,-122.6904432,625730,,2016-04-30,10,0,Zillow ZIP-level market for Santa Rosa; mapped with Census 2020 ZCTA 95404 in Sonoma County.,,,,
94928 Rohnert Park,zcta,94928,Rohnert Park,38.3459304,-122.6935071,514380,,2016-04-30,10,0,Zillow ZIP-level market for Rohnert Park; mapped with Census 2020 ZCTA 94928 in Sonoma County.,,,,
94954 Petaluma,zcta,94954,Petaluma,38.2350095,-122.5573694,602169,,2016-04-30,10,0,Zillow ZIP-level market for Petaluma; mapped with Census 2020 ZCTA 94954 in Sonoma County.,,,,
95401 Santa Rosa,zcta,95401,Santa Rosa,38.4491367,-122.7937522,492551,,2016-04-30,10,0,Zillow ZIP-level market for Santa Rosa; mapped with Census 2020 ZCTA 95401 in Sonoma County.,,,,
94952 Petaluma,zcta,94952,Petaluma,38.2345532,-122.7603848,756214,,2016-04-30,10,0,Zillow ZIP-level market for Petaluma; mapped with Census 2020 ZCTA 94952 in Sonoma County.,,,,
95476 Sonoma,zcta,95476,Sonoma,38.2558418,-122.4609085,797763,,2016-04-30,10,0,Zillow ZIP-level market for Sonoma; mapped with Census 2020 ZCTA 95476 in Sonoma County.,,,,
95472 Sebastopol,zcta,95472,Sebastopol,38.3988146,-122.8619227,828568,,2016-04-30,10,0,Zillow ZIP-level market for Sebastopol; mapped with Census 2020 ZCTA 95472 in Sonoma County.,,,,
95492 Windsor,zcta,95492,Windsor,38.530486,-122.8118351,576079,,2016-04-30,10,0,Zillow ZIP-level market for Windsor; mapped with Census 2020 ZCTA 95492 in Sonoma County.,,,,
95409 Santa Rosa,zcta,95409,Santa Rosa,38.4684846,-122.5821384,643668,,2016-04-30,10,0,Zillow ZIP-level market for Santa Rosa; mapped with Census 2020 ZCTA 95409 in Sonoma County.,,,,
95405 Santa Rosa,zcta,95405,Santa Rosa,38.4381358,-122.6690575,560120,,2016-04-30,10,0,Zillow ZIP-level market for Santa Rosa; mapped with Census 2020 ZCTA 95405 in Sonoma County.,,,,
95448 Healdsburg,zcta,95448,Healdsburg,38.6229845,-122.8891215,865652,,2016-04-30,10,0,Zillow ZIP-level market for Healdsburg; mapped with Census 2020 ZCTA 95448 in Sonoma County.,,,,
95425 Cloverdale,zcta,95425,Cloverdale,38.8230526,-123.0638591,458692,,2016-04-30,10,0,Zillow ZIP-level market for Cloverdale; mapped with Census 2020 ZCTA 95425 in Sonoma County.,,,,
94931 Cotati,zcta,94931,Cotati,38.3251717,-122.7169769,546655,,2016-04-30,10,0,Zillow ZIP-level market for Cotati; mapped with Census 2020 ZCTA 94931 in Sonoma County.,,,,
95436 Forestville,zcta,95436,Forestville,38.4868279,-122.905617,479656,,2016-04-30,10,0,Zillow ZIP-level market for Forestville; mapped with Census 2020 ZCTA 95436 in Sonoma County.,,,,
