place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
96080 Red Bluff,zcta,96080,Red Bluff,40.1653798,-122.4417183,186586,,2016-04-30,10,0,Zillow ZIP-level market for Red Bluff; mapped with Census 2020 ZCTA 96080 in Tehama County.,,,,
96021 Corning,zcta,96021,Corning,39.9234789,-122.2704539,172044,,2016-04-30,10,0,Zillow ZIP-level market for Corning; mapped with Census 2020 ZCTA 96021 in Tehama County.,,,,
96022 Cottonwood,zcta,96022,Cottonwood,40.3363078,-122.4479773,226049,,2016-04-30,10,0,Zillow ZIP-level market for Cottonwood; mapped with Census 2020 ZCTA 96022 in Tehama County.,,,,
96035 Gerber,zcta,96035,Gerber,40.0415598,-122.1850315,169527,,2016-04-30,10,0,Zillow ZIP-level market for Gerber; mapped with Census 2020 ZCTA 96035 in Tehama County.,,,,
96055 Los Molinos,zcta,96055,Los Molinos,40.099121,-121.9983747,184072,,2016-04-30,10,0,Zillow ZIP-level market for Los Molinos; mapped with Census 2020 ZCTA 96055 in Tehama County.,,,,
96075 nan,zcta,96075,nan,40.3623281,-121.8763871,111946,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96075 in Tehama County.,,,,
96059 Manton,zcta,96059,Manton,40.4337473,-121.8294212,214835,,2016-04-30,10,0,Zillow ZIP-level market for Manton; mapped with Census 2020 ZCTA 96059 in Tehama County.,,,,
96080 Red Bluff,zcta,96080,Red Bluff,40.1653798,-122.4417183,186766,,2016-05-31,10,0,Zillow ZIP-level market for Red Bluff; mapped with Census 2020 ZCTA 96080 in Tehama County.,,,,
96021 Corning,zcta,96021,Corning,39.9234789,-122.2704539,171850,,2016-05-31,10,0,Zillow ZIP-level market for Corning; mapped with Census 2020 ZCTA 96021 in Tehama County.,,,,
96022 Cottonwood,zcta,96022,Cottonwood,40.3363078,-122.4479773,226710,,2016-05-31,10,0,Zillow ZIP-level market for Cottonwood; mapped with Census 2020 ZCTA 96022 in Tehama County.,,,,
96035 Gerber,zcta,96035,Gerber,40.0415598,-122.1850315,169183,,2016-05-31,10,0,Zillow ZIP-level market for Gerber; mapped with Census 2020 ZCTA 96035 in Tehama County.,,,,
96055 Los Molinos,zcta,96055,Los Molinos,40.099121,-121.9983747,183917,,2016-05-31,10,0,Zillow ZIP-level market for Los Molinos; mapped with Census 2020 ZCTA 96055 in Tehama County.,,,,
96075 nan,zcta,96075,nan,40.3623281,-121.8763871,110943,,2016-05-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96075 in Tehama County.,,,,
96059 Manton,zcta,96059,Manton,40.4337473,-121.8294212,214496,,2016-05-31,10,0,Zillow ZIP-level market for Manton; mapped with Census 2020 ZCTA 96059 in Tehama County.,,,,
96080 Red Bluff,zcta,96080,Red Bluff,40.1653798,-122.4417183,187363,,2016-06-30,10,0,Zillow ZIP-level market for Red Bluff; mapped with Census 2020 ZCTA 96080 in Tehama County.,,,,
96021 Corning,zcta,96021,Corning,39.9234789,-122.2704539,172042,,2016-06-30,10,0,Zillow ZIP-level market for Corning; mapped with Census 2020 ZCTA 96021 in Tehama County.,,,,
96022 Cottonwood,zcta,96022,Cottonwood,40.3363078,-122.4479773,227390,,2016-06-30,10,0,Zillow ZIP-level market for Cottonwood; mapped with Census 2020 ZCTA 96022 in Tehama County.,,,,
96035 Gerber,zcta,96035,Gerber,40.0415598,-122.1850315,169023,,2016-06-30,10,0,Zillow ZIP-level market for Gerber; mapped with Census 2020 ZCTA 96035 in Tehama County.,,,,
