place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,528843,,2016-04-30,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,668481,,2016-04-30,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
95045 San Juan Bautista,zcta,95045,San Juan Bautista,36.8258065,-121.5185645,629946,,2016-04-30,10,0,Zillow ZIP-level market for San Juan Bautista; mapped with Census 2020 ZCTA 95045 in San Benito County.,,,,
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,532023,,2016-05-31,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,668941,,2016-05-31,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
95045 San Juan Bautista,zcta,95045,San Juan Bautista,36.8258065,-121.5185645,632842,,2016-05-31,10,0,Zillow ZIP-level market for San Juan Bautista; mapped with Census 2020 ZCTA 95045 in San Benito County.,,,,
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,534962,,2016-06-30,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,672696,,2016-06-30,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
95045 San Juan Bautista,zcta,95045,San Juan Bautista,36.8258065,-121.5185645,635472,,2016-06-30,10,0,Zillow ZIP-level market for San Juan Bautista; mapped with Census 2020 ZCTA 95045 in San Benito County.,,,,
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,535906,,2016-07-31,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,674021,,2016-07-31,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
95045 San Juan Bautista,zcta,95045,San Juan Bautista,36.8258065,-121.5185645,634558,,2016-07-31,10,0,Zillow ZIP-level market for San Juan Bautista; mapped with Census 2020 ZCTA 95045 in San Benito County.,,,,
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,536525,,2016-08-31,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,675940,,2016-08-31,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
95045 San Juan Bautista,zcta,95045,San Juan Bautista,36.8258065,-121.5185645,632851,,2016-08-31,10,0,Zillow ZIP-level market for San Juan Bautista; mapped with Census 2020 ZCTA 95045 in San Benito County.,,,,
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,536652,,2016-09-30,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,677030,,2016-09-30,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
95045 San Juan Bautista,zcta,95045,San Juan Bautista,36.8258065,-121.5185645,632615,,2016-09-30,10,0,Zillow ZIP-level market for San Juan Bautista; mapped with Census 2020 ZCTA 95045 in San Benito County.,,,,
95023 Hollister,zcta,95023,Hollister,36.9199935,-121.3221878,538196,,2016-10-31,10,0,Zillow ZIP-level market for Hollister; mapped with Census 2020 ZCTA 95023 in San Benito County.,,,,
95004 Aromas,zcta,95004,Aromas,36.8747551,-121.6307316,680783,,2016-10-31,10,0,Zillow ZIP-level market for Aromas; mapped with Census 2020 ZCTA 95004 in San Benito County.,,,,
