place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
96130 Susanville,zcta,96130,Susanville,40.5490509,-120.6340321,145539,,2016-04-30,10,0,Zillow ZIP-level market for Susanville; mapped with Census 2020 ZCTA 96130 in Lassen County.,,,,
96117 Susanville,zcta,96117,Susanville,40.5334617,-120.2353561,173845,,2016-04-30,10,0,Zillow ZIP-level market for Susanville; mapped with Census 2020 ZCTA 96117 in Lassen County.,,,,
96114 Janesville,zcta,96114,Janesville,40.2926047,-120.4886136,199945,,2016-04-30,10,0,Zillow ZIP-level market for Janesville; mapped with Census 2020 ZCTA 96114 in Lassen County.,,,,
96109 Doyle,zcta,96109,Doyle,39.9941784,-120.1017083,104758,,2016-04-30,10,0,Zillow ZIP-level market for Doyle; mapped with Census 2020 ZCTA 96109 in Lassen County.,,,,
96056 McArthur,zcta,96056,McArthur,41.0671514,-121.3177457,197506,,2016-04-30,10,0,Zillow ZIP-level market for McArthur; mapped with Census 2020 ZCTA 96056 in Lassen County.,,,,
96113 Herlong,zcta,96113,Herlong,40.1880762,-120.1456838,67304,,2016-04-30,10,0,Zillow ZIP-level market for Herlong; mapped with Census 2020 ZCTA 96113 in Lassen County.,,,,
96006 Adin,zcta,96006,Adin,41.133532,-120.8425657,116434,,2016-04-30,10,0,Zillow ZIP-level market for Adin; mapped with Census 2020 ZCTA 96006 in Lassen County.,,,,
96009 Bieber,zcta,96009,Bieber,41.0560401,-121.0208017,139363,,2016-04-30,10,0,Zillow ZIP-level market for Bieber; mapped with Census 2020 ZCTA 96009 in Lassen County.,,,,
96128 Standish,zcta,96128,Standish,40.3488992,-120.4060169,200971,,2016-04-30,10,0,Zillow ZIP-level market for Standish; mapped with Census 2020 ZCTA 96128 in Lassen County.,,,,
96130 Susanville,zcta,96130,Susanville,40.5490509,-120.6340321,146823,,2016-05-31,10,0,Zillow ZIP-level market for Susanville; mapped with Census 2020 ZCTA 96130 in Lassen County.,,,,
96117 Susanville,zcta,96117,Susanville,40.5334617,-120.2353561,174960,,2016-05-31,10,0,Zillow ZIP-level market for Susanville; mapped with Census 2020 ZCTA 96117 in Lassen County.,,,,
96114 Janesville,zcta,96114,Janesville,40.2926047,-120.4886136,200740,,2016-05-31,10,0,Zillow ZIP-level market for Janesville; mapped with Census 2020 ZCTA 96114 in Lassen County.,,,,
