place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
94565 Pittsburg,zcta,94565,Pittsburg,38.008595,-121.9283149,366091,1479,2016-04-30,10,0,Zillow ZIP-level market for Pittsburg; mapped with Census 2020 ZCTA 94565 in Contra Costa County.,,1479,Zillow ZORI,
94513 Brentwood,zcta,94513,Brentwood,37.9248992,-121.6867239,523722,1871,2016-04-30,10,0,Zillow ZIP-level market for Brentwood; mapped with Census 2020 ZCTA 94513 in Contra Costa County.,,1871,Zillow ZORI,
94509 Antioch,zcta,94509,Antioch,37.9920035,-121.8125663,331076,1391,2016-04-30,10,0,Zillow ZIP-level market for Antioch; mapped with Census 2020 ZCTA 94509 in Contra Costa County.,,1391,Zillow ZORI,
94806 Richmond,zcta,94806,Richmond,37.978427,-122.3364179,396998,,2016-04-30,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94806 in Contra Costa County.,,,,
94553 Martinez,zcta,94553,Martinez,37.9782987,-122.1571085,556637,,2016-04-30,10,0,Zillow ZIP-level market for Martinez; mapped with Census 2020 ZCTA 94553 in Contra Costa County.,,,,
94582 San Ramon,zcta,94582,San Ramon,37.7653469,-121.9154316,1122835,,2016-04-30,10,0,Zillow ZIP-level market for San Ramon; mapped with Census 2020 ZCTA 94582 in Contra Costa County.,,,,
94804 Richmond,zcta,94804,Richmond,37.9154627,-122.3378152,418222,,2016-04-30,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94804 in Contra Costa County.,,,,
94521 Concord,zcta,94521,Concord,37.9529096,-121.9696955,584362,,2016-04-30,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94521 in Contra Costa County.,,,,
94531 Antioch,zcta,94531,Antioch,37.9566481,-121.77779,403776,,2016-04-30,10,0,Zillow ZIP-level market for Antioch; mapped with Census 2020 ZCTA 94531 in Contra Costa County.,,,,
94561 Oakley,zcta,94561,Oakley,37.9934851,-121.6912187,419659,,2016-04-30,10,0,Zillow ZIP-level market for Oakley; mapped with Census 2020 ZCTA 94561 in Contra Costa County.,,,,
94583 San Ramon,zcta,94583,San Ramon,37.7716927,-121.9898294,928352,,2016-04-30,10,0,Zillow ZIP-level market for San Ramon; mapped with Census 2020 ZCTA 94583 in Contra Costa County.,,,,
94520 Concord,zcta,94520,Concord,37.9930277,-122.0352507,434689,,2016-04-30,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94520 in Contra Costa County.,,,,
94523 Pleasant Hill,zcta,94523,Pleasant Hill,37.9541635,-122.0757723,688128,,2016-04-30,10,0,Zillow ZIP-level market for Pleasant Hill; mapped with Census 2020 ZCTA 94523 in Contra Costa County.,,,,
94801 Richmond,zcta,94801,Richmond,37.9492451,-122.3971976,332811,,2016-04-30,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94801 in Contra Costa County.,,,,
94526 Danville,zcta,94526,Danville,37.8147341,-121.9845253,1192449,,2016-04-30,10,0,Zillow ZIP-level market for Danville; mapped with Census 2020 ZCTA 94526 in Contra Costa County.,,,,
94598 Walnut Creek,zcta,94598,Walnut Creek,37.9169161,-122.0149174,932916,,2016-04-30,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94598 in Contra Costa County.,,,,
94549 Lafayette,zcta,94549,Lafayette,37.9011371,-122.1190811,1416622,,2016-04-30,10,0,Zillow ZIP-level market for Lafayette; mapped with Census 2020 ZCTA 94549 in Contra Costa County.,,,,
94518 Concord,zcta,94518,Concord,37.9505211,-122.0220781,616388,,2016-04-30,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94518 in Contra Costa County.,,,,
94506 Danville,zcta,94506,Danville,37.8064262,-121.9024245,1296298,,2016-04-30,10,0,Zillow ZIP-level market for Danville; mapped with Census 2020 ZCTA 94506 in Contra Costa County.,,,,
94547 Hercules,zcta,94547,Hercules,38.0065856,-122.25716,528651,,2016-04-30,10,0,Zillow ZIP-level market for Hercules; mapped with Census 2020 ZCTA 94547 in Contra Costa County.,,,,
94530 El Cerrito,zcta,94530,El Cerrito,37.9207416,-122.3006348,830841,,2016-04-30,10,0,Zillow ZIP-level market for El Cerrito; mapped with Census 2020 ZCTA 94530 in Contra Costa County.,,,,
94803 Richmond,zcta,94803,Richmond,37.9568399,-122.2823581,534062,,2016-04-30,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94803 in Contra Costa County.,,,,
94519 Concord,zcta,94519,Concord,37.9888044,-122.0127643,502307,,2016-04-30,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94519 in Contra Costa County.,,,,
94597 Walnut Creek,zcta,94597,Walnut Creek,37.9176973,-122.071818,798956,,2016-04-30,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94597 in Contra Costa County.,,,,
94596 Walnut Creek,zcta,94596,Walnut Creek,37.8890094,-122.0367782,1055118,,2016-04-30,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94596 in Contra Costa County.,,,,
94564 Pinole,zcta,94564,Pinole,37.9905553,-122.2724989,501353,,2016-04-30,10,0,Zillow ZIP-level market for Pinole; mapped with Census 2020 ZCTA 94564 in Contra Costa County.,,,,
94563 Orinda,zcta,94563,Orinda,37.8738672,-122.2053117,1436061,,2016-04-30,10,0,Zillow ZIP-level market for Orinda; mapped with Census 2020 ZCTA 94563 in Contra Costa County.,,,,
94595 Walnut Creek,zcta,94595,Walnut Creek,37.8720872,-122.0689708,1043914,,2016-04-30,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94595 in Contra Costa County.,,,,
94805 Richmond,zcta,94805,Richmond,37.9422094,-122.3235455,499141,,2016-04-30,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94805 in Contra Costa County.,,,,
94556 Moraga,zcta,94556,Moraga,37.8319712,-122.1059224,1195919,,2016-04-30,10,0,Zillow ZIP-level market for Moraga; mapped with Census 2020 ZCTA 94556 in Contra Costa County.,,,,
94517 Clayton,zcta,94517,Clayton,37.8910774,-121.8930556,734333,,2016-04-30,10,0,Zillow ZIP-level market for Clayton; mapped with Census 2020 ZCTA 94517 in Contra Costa County.,,,,
94507 Alamo,zcta,94507,Alamo,37.8542897,-122.0065987,1667254,,2016-04-30,10,0,Zillow ZIP-level market for Alamo; mapped with Census 2020 ZCTA 94507 in Contra Costa County.,,,,
94505 Discovery Bay,zcta,94505,Discovery Bay,37.8712683,-121.596984,539116,,2016-04-30,10,0,Zillow ZIP-level market for Discovery Bay; mapped with Census 2020 ZCTA 94505 in Contra Costa County.,,,,
94572 Rodeo,zcta,94572,Rodeo,38.0238582,-122.2327881,447098,,2016-04-30,10,0,Zillow ZIP-level market for Rodeo; mapped with Census 2020 ZCTA 94572 in Contra Costa County.,,,,
94525 Crockett,zcta,94525,Crockett,38.0480726,-122.2292077,506147,,2016-04-30,10,0,Zillow ZIP-level market for Crockett; mapped with Census 2020 ZCTA 94525 in Contra Costa County.,,,,
94514 Byron,zcta,94514,Byron,37.8256458,-121.6343527,525696,,2016-04-30,10,0,Zillow ZIP-level market for Byron; mapped with Census 2020 ZCTA 94514 in Contra Costa County.,,,,
94511 Bethel Island,zcta,94511,Bethel Island,38.0281297,-121.6298509,408062,,2016-04-30,10,0,Zillow ZIP-level market for Bethel Island; mapped with Census 2020 ZCTA 94511 in Contra Costa County.,,,,
94528 Diablo,zcta,94528,Diablo,37.8414766,-121.9581536,2329202,,2016-04-30,10,0,Zillow ZIP-level market for Diablo; mapped with Census 2020 ZCTA 94528 in Contra Costa County.,,,,
94569 Port Costa,zcta,94569,Port Costa,38.0440915,-122.1919429,475874,,2016-04-30,10,0,Zillow ZIP-level market for Port Costa; mapped with Census 2020 ZCTA 94569 in Contra Costa County.,,,,
94565 Pittsburg,zcta,94565,Pittsburg,38.008595,-121.9283149,369647,1493,2016-05-31,10,0,Zillow ZIP-level market for Pittsburg; mapped with Census 2020 ZCTA 94565 in Contra Costa County.,,1493,Zillow ZORI,
94513 Brentwood,zcta,94513,Brentwood,37.9248992,-121.6867239,525072,1916,2016-05-31,10,0,Zillow ZIP-level market for Brentwood; mapped with Census 2020 ZCTA 94513 in Contra Costa County.,,1916,Zillow ZORI,
94509 Antioch,zcta,94509,Antioch,37.9920035,-121.8125663,334155,1392,2016-05-31,10,0,Zillow ZIP-level market for Antioch; mapped with Census 2020 ZCTA 94509 in Contra Costa County.,,1392,Zillow ZORI,
94806 Richmond,zcta,94806,Richmond,37.978427,-122.3364179,399863,,2016-05-31,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94806 in Contra Costa County.,,,,
94553 Martinez,zcta,94553,Martinez,37.9782987,-122.1571085,559661,,2016-05-31,10,0,Zillow ZIP-level market for Martinez; mapped with Census 2020 ZCTA 94553 in Contra Costa County.,,,,
94582 San Ramon,zcta,94582,San Ramon,37.7653469,-121.9154316,1123818,2564,2016-05-31,10,0,Zillow ZIP-level market for San Ramon; mapped with Census 2020 ZCTA 94582 in Contra Costa County.,,2564,Zillow ZORI,
94804 Richmond,zcta,94804,Richmond,37.9154627,-122.3378152,422658,,2016-05-31,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94804 in Contra Costa County.,,,,
94521 Concord,zcta,94521,Concord,37.9529096,-121.9696955,584782,,2016-05-31,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94521 in Contra Costa County.,,,,
94531 Antioch,zcta,94531,Antioch,37.9566481,-121.77779,406120,,2016-05-31,10,0,Zillow ZIP-level market for Antioch; mapped with Census 2020 ZCTA 94531 in Contra Costa County.,,,,
94561 Oakley,zcta,94561,Oakley,37.9934851,-121.6912187,423892,,2016-05-31,10,0,Zillow ZIP-level market for Oakley; mapped with Census 2020 ZCTA 94561 in Contra Costa County.,,,,
94583 San Ramon,zcta,94583,San Ramon,37.7716927,-121.9898294,928137,2151,2016-05-31,10,0,Zillow ZIP-level market for San Ramon; mapped with Census 2020 ZCTA 94583 in Contra Costa County.,,2151,Zillow ZORI,
94520 Concord,zcta,94520,Concord,37.9930277,-122.0352507,435340,,2016-05-31,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94520 in Contra Costa County.,,,,
94523 Pleasant Hill,zcta,94523,Pleasant Hill,37.9541635,-122.0757723,689379,,2016-05-31,10,0,Zillow ZIP-level market for Pleasant Hill; mapped with Census 2020 ZCTA 94523 in Contra Costa County.,,,,
94801 Richmond,zcta,94801,Richmond,37.9492451,-122.3971976,337600,,2016-05-31,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94801 in Contra Costa County.,,,,
94526 Danville,zcta,94526,Danville,37.8147341,-121.9845253,1191698,,2016-05-31,10,0,Zillow ZIP-level market for Danville; mapped with Census 2020 ZCTA 94526 in Contra Costa County.,,,,
94598 Walnut Creek,zcta,94598,Walnut Creek,37.9169161,-122.0149174,933322,,2016-05-31,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94598 in Contra Costa County.,,,,
94549 Lafayette,zcta,94549,Lafayette,37.9011371,-122.1190811,1410384,,2016-05-31,10,0,Zillow ZIP-level market for Lafayette; mapped with Census 2020 ZCTA 94549 in Contra Costa County.,,,,
94518 Concord,zcta,94518,Concord,37.9505211,-122.0220781,616457,,2016-05-31,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94518 in Contra Costa County.,,,,
94506 Danville,zcta,94506,Danville,37.8064262,-121.9024245,1296837,,2016-05-31,10,0,Zillow ZIP-level market for Danville; mapped with Census 2020 ZCTA 94506 in Contra Costa County.,,,,
94547 Hercules,zcta,94547,Hercules,38.0065856,-122.25716,532056,,2016-05-31,10,0,Zillow ZIP-level market for Hercules; mapped with Census 2020 ZCTA 94547 in Contra Costa County.,,,,
94530 El Cerrito,zcta,94530,El Cerrito,37.9207416,-122.3006348,832691,,2016-05-31,10,0,Zillow ZIP-level market for El Cerrito; mapped with Census 2020 ZCTA 94530 in Contra Costa County.,,,,
94803 Richmond,zcta,94803,Richmond,37.9568399,-122.2823581,537291,,2016-05-31,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94803 in Contra Costa County.,,,,
94519 Concord,zcta,94519,Concord,37.9888044,-122.0127643,502891,,2016-05-31,10,0,Zillow ZIP-level market for Concord; mapped with Census 2020 ZCTA 94519 in Contra Costa County.,,,,
94597 Walnut Creek,zcta,94597,Walnut Creek,37.9176973,-122.071818,798623,,2016-05-31,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94597 in Contra Costa County.,,,,
94596 Walnut Creek,zcta,94596,Walnut Creek,37.8890094,-122.0367782,1054056,,2016-05-31,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94596 in Contra Costa County.,,,,
94564 Pinole,zcta,94564,Pinole,37.9905553,-122.2724989,502408,,2016-05-31,10,0,Zillow ZIP-level market for Pinole; mapped with Census 2020 ZCTA 94564 in Contra Costa County.,,,,
94563 Orinda,zcta,94563,Orinda,37.8738672,-122.2053117,1428143,,2016-05-31,10,0,Zillow ZIP-level market for Orinda; mapped with Census 2020 ZCTA 94563 in Contra Costa County.,,,,
94595 Walnut Creek,zcta,94595,Walnut Creek,37.8720872,-122.0689708,1042583,,2016-05-31,10,0,Zillow ZIP-level market for Walnut Creek; mapped with Census 2020 ZCTA 94595 in Contra Costa County.,,,,
94805 Richmond,zcta,94805,Richmond,37.9422094,-122.3235455,501265,,2016-05-31,10,0,Zillow ZIP-level market for Richmond; mapped with Census 2020 ZCTA 94805 in Contra Costa County.,,,,
94556 Moraga,zcta,94556,Moraga,37.8319712,-122.1059224,1195725,,2016-05-31,10,0,Zillow ZIP-level market for Moraga; mapped with Census 2020 ZCTA 94556 in Contra Costa County.,,,,
94517 Clayton,zcta,94517,Clayton,37.8910774,-121.8930556,735444,,2016-05-31,10,0,Zillow ZIP-level market for Clayton; mapped with Census 2020 ZCTA 94517 in Contra Costa County.,,,,
