place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95971 Quincy,zcta,95971,Quincy,39.9292284,-120.9244308,214276,,2016-04-30,10,0,Zillow ZIP-level market for Quincy; mapped with Census 2020 ZCTA 95971 in Plumas County.,,,,
96122 Portola,zcta,96122,Portola,39.8207379,-120.4762699,137246,,2016-04-30,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96122 in Plumas County.,,,,
96137 Westwood,zcta,96137,Westwood,40.4693254,-121.2298715,246261,,2016-04-30,10,0,Zillow ZIP-level market for Westwood; mapped with Census 2020 ZCTA 96137 in Plumas County.,,,,
96020 nan,zcta,96020,nan,40.3067873,-121.2618742,199383,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96020 in Plumas County.,,,,
96103 Graeagle,zcta,96103,Graeagle,39.7801562,-120.6707547,242337,,2016-04-30,10,0,Zillow ZIP-level market for Graeagle; mapped with Census 2020 ZCTA 96103 in Plumas County.,,,,
95947 Greenville,zcta,95947,Greenville,40.1593987,-120.8440845,163312,,2016-04-30,10,0,Zillow ZIP-level market for Greenville; mapped with Census 2020 ZCTA 95947 in Plumas County.,,,,
95983 Taylorsville,zcta,95983,Taylorsville,40.0582609,-120.7389324,212573,,2016-04-30,10,0,Zillow ZIP-level market for Taylorsville; mapped with Census 2020 ZCTA 95983 in Plumas County.,,,,
96106 Portola,zcta,96106,Portola,39.7354816,-120.543862,390252,,2016-04-30,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96106 in Plumas County.,,,,
96121 nan,zcta,96121,nan,40.1643933,-120.3800422,192365,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96121 in Plumas County.,,,,
95981 nan,zcta,95981,nan,39.652827,-121.0399442,211642,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 95981 in Plumas County.,,,,
95956 Meadow Valley,zcta,95956,Meadow Valley,39.8841403,-121.1159452,191322,,2016-04-30,10,0,Zillow ZIP-level market for Meadow Valley; mapped with Census 2020 ZCTA 95956 in Plumas County.,,,,
95971 Quincy,zcta,95971,Quincy,39.9292284,-120.9244308,215106,,2016-05-31,10,0,Zillow ZIP-level market for Quincy; mapped with Census 2020 ZCTA 95971 in Plumas County.,,,,
96122 Portola,zcta,96122,Portola,39.8207379,-120.4762699,138719,,2016-05-31,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96122 in Plumas County.,,,,
96137 Westwood,zcta,96137,Westwood,40.4693254,-121.2298715,247696,,2016-05-31,10,0,Zillow ZIP-level market for Westwood; mapped with Census 2020 ZCTA 96137 in Plumas County.,,,,
96020 nan,zcta,96020,nan,40.3067873,-121.2618742,199974,,2016-05-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96020 in Plumas County.,,,,
96103 Graeagle,zcta,96103,Graeagle,39.7801562,-120.6707547,242476,,2016-05-31,10,0,Zillow ZIP-level market for Graeagle; mapped with Census 2020 ZCTA 96103 in Plumas County.,,,,
95947 Greenville,zcta,95947,Greenville,40.1593987,-120.8440845,165585,,2016-05-31,10,0,Zillow ZIP-level market for Greenville; mapped with Census 2020 ZCTA 95947 in Plumas County.,,,,
95983 Taylorsville,zcta,95983,Taylorsville,40.0582609,-120.7389324,213942,,2016-05-31,10,0,Zillow ZIP-level market for Taylorsville; mapped with Census 2020 ZCTA 95983 in Plumas County.,,,,
96106 Portola,zcta,96106,Portola,39.7354816,-120.543862,390778,,2016-05-31,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96106 in Plumas County.,,,,
96121 nan,zcta,96121,nan,40.1643933,-120.3800422,193659,,2016-05-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96121 in Plumas County.,,,,
95981 nan,zcta,95981,nan,39.652827,-121.0399442,212745,,2016-05-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 95981 in Plumas County.,,,,
95956 Meadow Valley,zcta,95956,Meadow Valley,39.8841403,-121.1159452,191258,,2016-05-31,10,0,Zillow ZIP-level market for Meadow Valley; mapped with Census 2020 ZCTA 95956 in Plumas County.,,,,
95971 Quincy,zcta,95971,Quincy,39.9292284,-120.9244308,216078,,2016-06-30,10,0,Zillow ZIP-level market for Quincy; mapped with Census 2020 ZCTA 95971 in Plumas County.,,,,
96122 Portola,zcta,96122,Portola,39.8207379,-120.4762699,140309,,2016-06-30,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96122 in Plumas County.,,,,
96137 Westwood,zcta,96137,Westwood,40.4693254,-121.2298715,248477,,2016-06-30,10,0,Zillow ZIP-level market for Westwood; mapped with Census 2020 ZCTA 96137 in Plumas County.,,,,
96020 nan,zcta,96020,nan,40.3067873,-121.2618742,201082,,2016-06-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96020 in Plumas County.,,,,
96103 Graeagle,zcta,96103,Graeagle,39.7801562,-120.6707547,242526,,2016-06-30,10,0,Zillow ZIP-level market for Graeagle; mapped with Census 2020 ZCTA 96103 in Plumas County.,,,,
95947 Greenville,zcta,95947,Greenville,40.1593987,-120.8440845,167062,,2016-06-30,10,0,Zillow ZIP-level market for Greenville; mapped with Census 2020 ZCTA 95947 in Plumas County.,,,,
95983 Taylorsville,zcta,95983,Taylorsville,40.0582609,-120.7389324,214756,,2016-06-30,10,0,Zillow ZIP-level market for Taylorsville; mapped with Census 2020 ZCTA 95983 in Plumas County.,,,,
96106 Portola,zcta,96106,Portola,39.7354816,-120.543862,391479,,2016-06-30,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96106 in Plumas County.,,,,
96121 nan,zcta,96121,nan,40.1643933,-120.3800422,194309,,2016-06-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96121 in Plumas County.,,,,
95981 nan,zcta,95981,nan,39.652827,-121.0399442,213582,,2016-06-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 95981 in Plumas County.,,,,
95956 Meadow Valley,zcta,95956,Meadow Valley,39.8841403,-121.1159452,191100,,2016-06-30,10,0,Zillow ZIP-level market for Meadow Valley; mapped with Census 2020 ZCTA 95956 in Plumas County.,,,,
95971 Quincy,zcta,95971,Quincy,39.9292284,-120.9244308,217016,,2016-07-31,10,0,Zillow ZIP-level market for Quincy; mapped with Census 2020 ZCTA 95971 in Plumas County.,,,,
96122 Portola,zcta,96122,Portola,39.8207379,-120.4762699,141690,,2016-07-31,10,0,Zillow ZIP-level market for Portola; mapped with Census 2020 ZCTA 96122 in Plumas County.,,,,
96137 Westwood,zcta,96137,Westwood,40.4693254,-121.2298715,248911,,2016-07-31,10,0,Zillow ZIP-level market for Westwood; mapped with Census 2020 ZCTA 96137 in Plumas County.,,,,
96020 nan,zcta,96020,nan,40.3067873,-121.2618742,201989,,2016-07-31,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 96020 in Plumas County.,,,,
96103 Graeagle,zcta,96103,Graeagle,39.7801562,-120.6707547,242351,,2016-07-31,10,0,Zillow ZIP-level market for Graeagle; mapped with Census 2020 ZCTA 96103 in Plumas County.,,,,
95947 Greenville,zcta,95947,Greenville,40.1593987,-120.8440845,166735,,2016-07-31,10,0,Zillow ZIP-level market for Greenville; mapped with Census 2020 ZCTA 95947 in Plumas County.,,,,
95983 Taylorsville,zcta,95983,Taylorsville,40.0582609,-120.7389324,215584,,2016-07-31,10,0,Zillow ZIP-level market for Taylorsville; mapped with Census 2020 ZCTA 95983 in Plumas County.,,,,
