place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95076 Watsonville,zcta,95076,Watsonville,36.9457806,-121.7560577,535716,,2016-04-30,10,0,Zillow ZIP-level market for Watsonville; mapped with Census 2020 ZCTA 95076 in Santa Cruz County.,,,,
95060 Santa Cruz,zcta,95060,Santa Cruz,36.9932001,-122.0984003,898108,,2016-04-30,10,0,Zillow ZIP-level market for Santa Cruz; mapped with Census 2020 ZCTA 95060 in Santa Cruz County.,,,,
95062 Santa Cruz,zcta,95062,Santa Cruz,36.9739691,-121.9898464,857627,,2016-04-30,10,0,Zillow ZIP-level market for Santa Cruz; mapped with Census 2020 ZCTA 95062 in Santa Cruz County.,,,,
95003 Aptos,zcta,95003,Aptos,37.0067,-121.8782065,889399,,2016-04-30,10,0,Zillow ZIP-level market for Aptos; mapped with Census 2020 ZCTA 95003 in Santa Cruz County.,,,,
95066 Scotts Valley,zcta,95066,Scotts Valley,37.0671978,-122.0145209,857540,,2016-04-30,10,0,Zillow ZIP-level market for Scotts Valley; mapped with Census 2020 ZCTA 95066 in Santa Cruz County.,,,,
95073 Soquel,zcta,95073,Soquel,37.0406799,-121.9317399,882191,,2016-04-30,10,0,Zillow ZIP-level market for Soquel; mapped with Census 2020 ZCTA 95073 in Santa Cruz County.,,,,
95065 Santa Cruz,zcta,95065,Santa Cruz,37.0322419,-121.9844016,872435,,2016-04-30,10,0,Zillow ZIP-level market for Santa Cruz; mapped with Census 2020 ZCTA 95065 in Santa Cruz County.,,,,
95010 Capitola,zcta,95010,Capitola,36.976355,-121.9547232,947967,,2016-04-30,10,0,Zillow ZIP-level market for Capitola; mapped with Census 2020 ZCTA 95010 in Santa Cruz County.,,,,
95006 Boulder Creek,zcta,95006,Boulder Creek,37.171267,-122.1495236,552834,,2016-04-30,10,0,Zillow ZIP-level market for Boulder Creek; mapped with Census 2020 ZCTA 95006 in Santa Cruz County.,,,,
95018 Ben Lomond,zcta,95018,Ben Lomond,37.0838741,-122.0598984,552020,,2016-04-30,10,0,Zillow ZIP-level market for Ben Lomond; mapped with Census 2020 ZCTA 95018 in Santa Cruz County.,,,,
95005 Ben Lomond,zcta,95005,Ben Lomond,37.0983626,-122.0892953,611872,,2016-04-30,10,0,Zillow ZIP-level market for Ben Lomond; mapped with Census 2020 ZCTA 95005 in Santa Cruz County.,,,,
95019 Freedom,zcta,95019,Freedom,36.9358526,-121.7844761,468654,,2016-04-30,10,0,Zillow ZIP-level market for Freedom; mapped with Census 2020 ZCTA 95019 in Santa Cruz County.,,,,
95017 Davenport,zcta,95017,Davenport,37.0946843,-122.2374662,723301,,2016-04-30,10,0,Zillow ZIP-level market for Davenport; mapped with Census 2020 ZCTA 95017 in Santa Cruz County.,,,,
