place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95035 Milpitas,zcta,95035,Milpitas,37.4403973,-121.874693,874991,,2016-04-30,10,0,Zillow ZIP-level market for Milpitas; mapped with Census 2020 ZCTA 95035 in Santa Clara County.,,,,
95123 San Jose,zcta,95123,San Jose,37.244238,-121.8316038,788857,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95123 in Santa Clara County.,,,,
95020 Gilroy,zcta,95020,Gilroy,37.0162105,-121.5594182,673210,,2016-04-30,10,0,Zillow ZIP-level market for Gilroy; mapped with Census 2020 ZCTA 95020 in Santa Clara County.,,,,
95127 San Jose,zcta,95127,San Jose,37.3716706,-121.7870966,670436,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95127 in Santa Clara County.,,,,
95014 Cupertino,zcta,95014,Cupertino,37.3083545,-122.0818821,1942469,,2016-04-30,10,0,Zillow ZIP-level market for Cupertino; mapped with Census 2020 ZCTA 95014 in Santa Clara County.,,,,
95051 Santa Clara,zcta,95051,Santa Clara,37.3483113,-121.9844349,1125656,,2016-04-30,10,0,Zillow ZIP-level market for Santa Clara; mapped with Census 2020 ZCTA 95051 in Santa Clara County.,,,,
95111 San Jose,zcta,95111,San Jose,37.2838535,-121.8268688,597061,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95111 in Santa Clara County.,,,,
94087 Sunnyvale,zcta,94087,Sunnyvale,37.3516149,-122.0366796,1702654,,2016-04-30,10,0,Zillow ZIP-level market for Sunnyvale; mapped with Census 2020 ZCTA 94087 in Santa Clara County.,,,,
95112 San Jose,zcta,95112,San Jose,37.3445994,-121.8834403,695170,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95112 in Santa Clara County.,,,,
95125 San Jose,zcta,95125,San Jose,37.2955986,-121.8940712,1142570,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95125 in Santa Clara County.,,,,
95122 San Jose,zcta,95122,San Jose,37.3292242,-121.8348212,575620,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95122 in Santa Clara County.,,,,
95037 Morgan Hill,zcta,95037,Morgan Hill,37.1318204,-121.6812468,825120,,2016-04-30,10,0,Zillow ZIP-level market for Morgan Hill; mapped with Census 2020 ZCTA 95037 in Santa Clara County.,,,,
95116 San Jose,zcta,95116,San Jose,37.3504713,-121.8525538,574296,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95116 in Santa Clara County.,,,,
95124 San Jose,zcta,95124,San Jose,37.2568308,-121.9228146,1054240,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95124 in Santa Clara County.,,,,
95136 San Jose,zcta,95136,San Jose,37.2713786,-121.8525124,782200,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95136 in Santa Clara County.,,,,
94086 Sunnyvale,zcta,94086,Sunnyvale,37.3716335,-122.0232017,1231419,,2016-04-30,10,0,Zillow ZIP-level market for Sunnyvale; mapped with Census 2020 ZCTA 94086 in Santa Clara County.,,,,
95148 San Jose,zcta,95148,San Jose,37.3334292,-121.7816683,832853,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95148 in Santa Clara County.,,,,
95008 Campbell,zcta,95008,Campbell,37.2791725,-121.9555653,1111731,,2016-04-30,10,0,Zillow ZIP-level market for Campbell; mapped with Census 2020 ZCTA 95008 in Santa Clara County.,,,,
95050 Santa Clara,zcta,95050,Santa Clara,37.3504312,-121.9524053,963768,,2016-04-30,10,0,Zillow ZIP-level market for Santa Clara; mapped with Census 2020 ZCTA 95050 in Santa Clara County.,,,,
95132 San Jose,zcta,95132,San Jose,37.4184455,-121.7879776,873210,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95132 in Santa Clara County.,,,,
95120 San Jose,zcta,95120,San Jose,37.1857459,-121.8427384,1309893,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95120 in Santa Clara County.,,,,
95129 San Jose,zcta,95129,San Jose,37.305958,-122.0007203,1526259,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95129 in Santa Clara County.,,,,
94040 Mountain View,zcta,94040,Mountain View,37.3802721,-122.0852214,2064403,,2016-04-30,10,0,Zillow ZIP-level market for Mountain View; mapped with Census 2020 ZCTA 94040 in Santa Clara County.,,,,
95121 San Jose,zcta,95121,San Jose,37.3046105,-121.8097734,707736,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95121 in Santa Clara County.,,,,
95128 San Jose,zcta,95128,San Jose,37.3158842,-121.9364309,860256,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95128 in Santa Clara County.,,,,
95126 San Jose,zcta,95126,San Jose,37.3269219,-121.9167787,917289,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95126 in Santa Clara County.,,,,
95118 San Jose,zcta,95118,San Jose,37.2553638,-121.8919118,918170,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95118 in Santa Clara County.,,,,
95131 San Jose,zcta,95131,San Jose,37.3872675,-121.8979476,871938,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95131 in Santa Clara County.,,,,
95070 Saratoga,zcta,95070,Saratoga,37.2549286,-122.0521809,2331086,,2016-04-30,10,0,Zillow ZIP-level market for Saratoga; mapped with Census 2020 ZCTA 95070 in Santa Clara County.,,,,
94043 Mountain View,zcta,94043,Mountain View,37.4119135,-122.0689193,1334453,,2016-04-30,10,0,Zillow ZIP-level market for Mountain View; mapped with Census 2020 ZCTA 94043 in Santa Clara County.,,,,
95134 San Jose,zcta,95134,San Jose,37.4300211,-121.9452625,897806,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95134 in Santa Clara County.,,,,
95032 Los Gatos,zcta,95032,Los Gatos,37.1801404,-121.9015526,1600105,,2016-04-30,10,0,Zillow ZIP-level market for Los Gatos; mapped with Census 2020 ZCTA 95032 in Santa Clara County.,,,,
95117 San Jose,zcta,95117,San Jose,37.3100724,-121.9621838,1014549,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95117 in Santa Clara County.,,,,
95133 San Jose,zcta,95133,San Jose,37.3717229,-121.8605558,778347,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95133 in Santa Clara County.,,,,
94306 Palo Alto,zcta,94306,Palo Alto,37.4162001,-122.1308577,2576948,,2016-04-30,10,0,Zillow ZIP-level market for Palo Alto; mapped with Census 2020 ZCTA 94306 in Santa Clara County.,,,,
94089 Sunnyvale,zcta,94089,Sunnyvale,37.4124017,-122.0156049,912959,,2016-04-30,10,0,Zillow ZIP-level market for Sunnyvale; mapped with Census 2020 ZCTA 94089 in Santa Clara County.,,,,
95054 Santa Clara,zcta,95054,Santa Clara,37.3930996,-121.9647964,994480,,2016-04-30,10,0,Zillow ZIP-level market for Santa Clara; mapped with Census 2020 ZCTA 95054 in Santa Clara County.,,,,
94085 Sunnyvale,zcta,94085,Sunnyvale,37.3886171,-122.0179326,969654,,2016-04-30,10,0,Zillow ZIP-level market for Sunnyvale; mapped with Census 2020 ZCTA 94085 in Santa Clara County.,,,,
94024 Los Altos,zcta,94024,Los Altos,37.3503883,-122.0986856,2836322,,2016-04-30,10,0,Zillow ZIP-level market for Los Altos; mapped with Census 2020 ZCTA 94024 in Santa Clara County.,,,,
95135 San Jose,zcta,95135,San Jose,37.223357,-121.5256945,1172348,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95135 in Santa Clara County.,,,,
95110 San Jose,zcta,95110,San Jose,37.3465721,-121.9097466,623286,,2016-04-30,10,0,Zillow ZIP-level market for San Jose; mapped with Census 2020 ZCTA 95110 in Santa Clara County.,,,,
95138 nan,zcta,95138,nan,37.2456123,-121.7488651,1111079,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 95138 in Santa Clara County.,,,,
94022 Los Altos,zcta,94022,Los Altos,37.3553597,-122.1449354,3490147,,2016-04-30,10,0,Zillow ZIP-level market for Los Altos; mapped with Census 2020 ZCTA 94022 in Santa Clara County.,,,,
