place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,217331,,2016-04-30,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,170564,,2016-04-30,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
96052 Lewiston,zcta,96052,Lewiston,40.6826801,-122.786454,219960,,2016-04-30,10,0,Zillow ZIP-level market for Lewiston; mapped with Census 2020 ZCTA 96052 in Trinity County.,,,,
96024 Douglas City,zcta,96024,Douglas City,40.5470452,-122.8811851,279543,,2016-04-30,10,0,Zillow ZIP-level market for Douglas City; mapped with Census 2020 ZCTA 96024 in Trinity County.,,,,
96091 Trinity Center,zcta,96091,Trinity Center,41.0438733,-122.8007908,238412,,2016-04-30,10,0,Zillow ZIP-level market for Trinity Center; mapped with Census 2020 ZCTA 96091 in Trinity County.,,,,
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,217129,,2016-05-31,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,172569,,2016-05-31,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
96052 Lewiston,zcta,96052,Lewiston,40.6826801,-122.786454,220505,,2016-05-31,10,0,Zillow ZIP-level market for Lewiston; mapped with Census 2020 ZCTA 96052 in Trinity County.,,,,
96024 Douglas City,zcta,96024,Douglas City,40.5470452,-122.8811851,280531,,2016-05-31,10,0,Zillow ZIP-level market for Douglas City; mapped with Census 2020 ZCTA 96024 in Trinity County.,,,,
96091 Trinity Center,zcta,96091,Trinity Center,41.0438733,-122.8007908,238785,,2016-05-31,10,0,Zillow ZIP-level market for Trinity Center; mapped with Census 2020 ZCTA 96091 in Trinity County.,,,,
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,217627,,2016-06-30,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,175999,,2016-06-30,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
96052 Lewiston,zcta,96052,Lewiston,40.6826801,-122.786454,220875,,2016-06-30,10,0,Zillow ZIP-level market for Lewiston; mapped with Census 2020 ZCTA 96052 in Trinity County.,,,,
96024 Douglas City,zcta,96024,Douglas City,40.5470452,-122.8811851,282254,,2016-06-30,10,0,Zillow ZIP-level market for Douglas City; mapped with Census 2020 ZCTA 96024 in Trinity County.,,,,
96091 Trinity Center,zcta,96091,Trinity Center,41.0438733,-122.8007908,239519,,2016-06-30,10,0,Zillow ZIP-level market for Trinity Center; mapped with Census 2020 ZCTA 96091 in Trinity County.,,,,
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,217547,,2016-07-31,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,178969,,2016-07-31,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
96052 Lewiston,zcta,96052,Lewiston,40.6826801,-122.786454,220495,,2016-07-31,10,0,Zillow ZIP-level market for Lewiston; mapped with Census 2020 ZCTA 96052 in Trinity County.,,,,
96024 Douglas City,zcta,96024,Douglas City,40.5470452,-122.8811851,282522,,2016-07-31,10,0,Zillow ZIP-level market for Douglas City; mapped with Census 2020 ZCTA 96024 in Trinity County.,,,,
96091 Trinity Center,zcta,96091,Trinity Center,41.0438733,-122.8007908,239145,,2016-07-31,10,0,Zillow ZIP-level market for Trinity Center; mapped with Census 2020 ZCTA 96091 in Trinity County.,,,,
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,217705,,2016-08-31,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,181428,,2016-08-31,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
96052 Lewiston,zcta,96052,Lewiston,40.6826801,-122.786454,219682,,2016-08-31,10,0,Zillow ZIP-level market for Lewiston; mapped with Census 2020 ZCTA 96052 in Trinity County.,,,,
96024 Douglas City,zcta,96024,Douglas City,40.5470452,-122.8811851,281484,,2016-08-31,10,0,Zillow ZIP-level market for Douglas City; mapped with Census 2020 ZCTA 96024 in Trinity County.,,,,
96091 Trinity Center,zcta,96091,Trinity Center,41.0438733,-122.8007908,237921,,2016-08-31,10,0,Zillow ZIP-level market for Trinity Center; mapped with Census 2020 ZCTA 96091 in Trinity County.,,,,
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,218431,,2016-09-30,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,183932,,2016-09-30,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
96052 Lewiston,zcta,96052,Lewiston,40.6826801,-122.786454,219982,,2016-09-30,10,0,Zillow ZIP-level market for Lewiston; mapped with Census 2020 ZCTA 96052 in Trinity County.,,,,
96024 Douglas City,zcta,96024,Douglas City,40.5470452,-122.8811851,281462,,2016-09-30,10,0,Zillow ZIP-level market for Douglas City; mapped with Census 2020 ZCTA 96024 in Trinity County.,,,,
96091 Trinity Center,zcta,96091,Trinity Center,41.0438733,-122.8007908,238408,,2016-09-30,10,0,Zillow ZIP-level market for Trinity Center; mapped with Census 2020 ZCTA 96091 in Trinity County.,,,,
96093 Weaverville,zcta,96093,Weaverville,40.7654778,-122.9414279,220299,,2016-10-31,10,0,Zillow ZIP-level market for Weaverville; mapped with Census 2020 ZCTA 96093 in Trinity County.,,,,
96041 Hayfork,zcta,96041,Hayfork,40.513498,-123.1960457,187048,,2016-10-31,10,0,Zillow ZIP-level market for Hayfork; mapped with Census 2020 ZCTA 96041 in Trinity County.,,,,
