place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
94901 San Rafael,zcta,94901,San Rafael,37.980709,-122.5006058,1082447,,2016-04-30,10,0,Zillow ZIP-level market for San Rafael; mapped with Census 2020 ZCTA 94901 in Marin County.,,,,
94941 Mill Valley,zcta,94941,Mill Valley,37.9247747,-122.6001828,1593717,,2016-04-30,10,0,Zillow ZIP-level market for Mill Valley; mapped with Census 2020 ZCTA 94941 in Marin County.,,,,
94903 San Rafael,zcta,94903,San Rafael,38.0221295,-122.55881,891896,,2016-04-30,10,0,Zillow ZIP-level market for San Rafael; mapped with Census 2020 ZCTA 94903 in Marin County.,,,,
94947 Novato,zcta,94947,Novato,38.1061995,-122.6249851,746096,,2016-04-30,10,0,Zillow ZIP-level market for Novato; mapped with Census 2020 ZCTA 94947 in Marin County.,,,,
94949 Novato,zcta,94949,Novato,38.0600944,-122.5064097,865432,,2016-04-30,10,0,Zillow ZIP-level market for Novato; mapped with Census 2020 ZCTA 94949 in Marin County.,,,,
94945 Novato,zcta,94945,Novato,38.1226869,-122.5531417,799575,,2016-04-30,10,0,Zillow ZIP-level market for Novato; mapped with Census 2020 ZCTA 94945 in Marin County.,,,,
94960 San Anselmo,zcta,94960,San Anselmo,37.9970232,-122.5783384,1179087,,2016-04-30,10,0,Zillow ZIP-level market for San Anselmo; mapped with Census 2020 ZCTA 94960 in Marin County.,,,,
94904 Kentfield,zcta,94904,Kentfield,37.9472249,-122.5517753,1870225,,2016-04-30,10,0,Zillow ZIP-level market for Kentfield; mapped with Census 2020 ZCTA 94904 in Marin County.,,,,
94920 Tiburon,zcta,94920,Tiburon,37.8867683,-122.4626194,2678000,,2016-04-30,10,0,Zillow ZIP-level market for Tiburon; mapped with Census 2020 ZCTA 94920 in Marin County.,,,,
94965 Sausalito,zcta,94965,Sausalito,37.8373471,-122.5274824,1588624,,2016-04-30,10,0,Zillow ZIP-level market for Sausalito; mapped with Census 2020 ZCTA 94965 in Marin County.,,,,
94925 Corte Madera,zcta,94925,Corte Madera,37.9318458,-122.5077378,1339201,,2016-04-30,10,0,Zillow ZIP-level market for Corte Madera; mapped with Census 2020 ZCTA 94925 in Marin County.,,,,
94930 Fairfax,zcta,94930,Fairfax,37.9697928,-122.61533,934459,,2016-04-30,10,0,Zillow ZIP-level market for Fairfax; mapped with Census 2020 ZCTA 94930 in Marin County.,,,,
94939 Larkspur,zcta,94939,Larkspur,37.9382519,-122.5359478,1781236,,2016-04-30,10,0,Zillow ZIP-level market for Larkspur; mapped with Census 2020 ZCTA 94939 in Marin County.,,,,
94957 Ross,zcta,94957,Ross,37.9634213,-122.5618079,3024470,,2016-04-30,10,0,Zillow ZIP-level market for Ross; mapped with Census 2020 ZCTA 94957 in Marin County.,,,,
94937 Point Reyes Station,zcta,94937,Point Reyes Station,38.1164824,-122.930353,1064280,,2016-04-30,10,0,Zillow ZIP-level market for Point Reyes Station; mapped with Census 2020 ZCTA 94937 in Marin County.,,,,
94924 Bolinas,zcta,94924,Bolinas,37.9669044,-122.7388158,1403114,,2016-04-30,10,0,Zillow ZIP-level market for Bolinas; mapped with Census 2020 ZCTA 94924 in Marin County.,,,,
94963 Lagunitas,zcta,94963,Lagunitas,38.00761,-122.6647483,955030,,2016-04-30,10,0,Zillow ZIP-level market for Lagunitas; mapped with Census 2020 ZCTA 94963 in Marin County.,,,,
