place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
94112 San Francisco,zcta,94112,San Francisco,37.7205458,-122.4431663,968020,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94112 in San Francisco County.,,,,
94110 San Francisco,zcta,94110,San Francisco,37.7500215,-122.4152015,1551492,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94110 in San Francisco County.,,,,
94122 San Francisco,zcta,94122,San Francisco,37.7604592,-122.483894,1277162,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94122 in San Francisco County.,,,,
94109 San Francisco,zcta,94109,San Francisco,37.7944848,-122.4222696,2221239,2902,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94109 in San Francisco County.,,2902,Zillow ZORI,
94116 San Francisco,zcta,94116,San Francisco,37.7453994,-122.4860655,1177833,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94116 in San Francisco County.,,,,
94117 San Francisco,zcta,94117,San Francisco,37.7700509,-122.4442803,2642582,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94117 in San Francisco County.,,,,
94118 San Francisco,zcta,94118,San Francisco,37.7801459,-122.4615303,2344248,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94118 in San Francisco County.,,,,
94121 San Francisco,zcta,94121,San Francisco,37.7785907,-122.4959119,1527229,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94121 in San Francisco County.,,,,
94134 San Francisco,zcta,94134,San Francisco,37.7188487,-122.411297,890787,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94134 in San Francisco County.,,,,
94124 San Francisco,zcta,94124,San Francisco,37.7289954,-122.3813152,786414,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94124 in San Francisco County.,,,,
94114 San Francisco,zcta,94114,San Francisco,37.758208,-122.4355562,2417165,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94114 in San Francisco County.,,,,
94102 San Francisco,zcta,94102,San Francisco,37.7795621,-122.4192928,1295332,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94102 in San Francisco County.,,,,
94115 San Francisco,zcta,94115,San Francisco,37.7860292,-122.4373655,3430196,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94115 in San Francisco County.,,,,
94103 San Francisco,zcta,94103,San Francisco,37.7729833,-122.411343,1571101,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94103 in San Francisco County.,,,,
94131 San Francisco,zcta,94131,San Francisco,37.7459165,-122.4414731,1627790,,2016-04-30,10,0,Zillow ZIP-level market for San Francisco; mapped with Census 2020 ZCTA 94131 in San Francisco County.,,,,
