place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95640 Ione,zcta,95640,Ione,38.3414666,-120.9401124,280840,,2016-04-30,10,0,Zillow ZIP-level market for Ione; mapped with Census 2020 ZCTA 95640 in Amador County.,,,,
95642 Jackson,zcta,95642,Jackson,38.3435055,-120.763948,298654,,2016-04-30,10,0,Zillow ZIP-level market for Jackson; mapped with Census 2020 ZCTA 95642 in Amador County.,,,,
95666 Pioneer,zcta,95666,Pioneer,38.5413755,-120.3290973,222379,,2016-04-30,10,0,Zillow ZIP-level market for Pioneer; mapped with Census 2020 ZCTA 95666 in Amador County.,,,,
95669 Plymouth,zcta,95669,Plymouth,38.4895182,-120.8916417,386327,,2016-04-30,10,0,Zillow ZIP-level market for Plymouth; mapped with Census 2020 ZCTA 95669 in Amador County.,,,,
95685 Sutter Creek,zcta,95685,Sutter Creek,38.4340117,-120.7620145,333988,,2016-04-30,10,0,Zillow ZIP-level market for Sutter Creek; mapped with Census 2020 ZCTA 95685 in Amador County.,,,,
95665 Pine Grove,zcta,95665,Pine Grove,38.3951756,-120.6527553,278086,,2016-04-30,10,0,Zillow ZIP-level market for Pine Grove; mapped with Census 2020 ZCTA 95665 in Amador County.,,,,
95689 Volcano,zcta,95689,Volcano,38.470889,-120.6156786,274705,,2016-04-30,10,0,Zillow ZIP-level market for Volcano; mapped with Census 2020 ZCTA 95689 in Amador County.,,,,
95629 Fiddletown,zcta,95629,Fiddletown,38.5127884,-120.6875231,322696,,2016-04-30,10,0,Zillow ZIP-level market for Fiddletown; mapped with Census 2020 ZCTA 95629 in Amador County.,,,,
95675 River Pines,zcta,95675,River Pines,38.545458,-120.7429092,123046,,2016-04-30,10,0,Zillow ZIP-level market for River Pines; mapped with Census 2020 ZCTA 95675 in Amador County.,,,,
95601 Amador City,zcta,95601,Amador City,38.4248647,-120.8302776,320525,,2016-04-30,10,0,Zillow ZIP-level market for Amador City; mapped with Census 2020 ZCTA 95601 in Amador County.,,,,
95640 Ione,zcta,95640,Ione,38.3414666,-120.9401124,283824,,2016-05-31,10,0,Zillow ZIP-level market for Ione; mapped with Census 2020 ZCTA 95640 in Amador County.,,,,
95642 Jackson,zcta,95642,Jackson,38.3435055,-120.763948,300734,,2016-05-31,10,0,Zillow ZIP-level market for Jackson; mapped with Census 2020 ZCTA 95642 in Amador County.,,,,
95666 Pioneer,zcta,95666,Pioneer,38.5413755,-120.3290973,224388,,2016-05-31,10,0,Zillow ZIP-level market for Pioneer; mapped with Census 2020 ZCTA 95666 in Amador County.,,,,
95669 Plymouth,zcta,95669,Plymouth,38.4895182,-120.8916417,390418,,2016-05-31,10,0,Zillow ZIP-level market for Plymouth; mapped with Census 2020 ZCTA 95669 in Amador County.,,,,
95685 Sutter Creek,zcta,95685,Sutter Creek,38.4340117,-120.7620145,335334,,2016-05-31,10,0,Zillow ZIP-level market for Sutter Creek; mapped with Census 2020 ZCTA 95685 in Amador County.,,,,
