place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95338 Mariposa,zcta,95338,Mariposa,37.507011,-119.9837888,270204,,2016-04-30,10,0,Zillow ZIP-level market for Mariposa; mapped with Census 2020 ZCTA 95338 in Mariposa County.,,,,
95311 Coulterville,zcta,95311,Coulterville,37.705686,-120.0910354,214954,,2016-04-30,10,0,Zillow ZIP-level market for Coulterville; mapped with Census 2020 ZCTA 95311 in Mariposa County.,,,,
95389 Yosemite National Park,zcta,95389,Yosemite National Park,37.7841273,-119.4282634,415827,,2016-04-30,10,0,Zillow ZIP-level market for Yosemite National Park; mapped with Census 2020 ZCTA 95389 in Mariposa County.,,,,
95345 Midpines,zcta,95345,Midpines,37.5908935,-119.9634598,261901,,2016-04-30,10,0,Zillow ZIP-level market for Midpines; mapped with Census 2020 ZCTA 95345 in Mariposa County.,,,,
95306 Catheys Valley,zcta,95306,Catheys Valley,37.3628976,-120.1194236,338187,,2016-04-30,10,0,Zillow ZIP-level market for Catheys Valley; mapped with Census 2020 ZCTA 95306 in Mariposa County.,,,,
93623 Fish Camp,zcta,93623,Fish Camp,37.4765962,-119.6744327,357689,,2016-04-30,10,0,Zillow ZIP-level market for Fish Camp; mapped with Census 2020 ZCTA 93623 in Mariposa County.,,,,
95338 Mariposa,zcta,95338,Mariposa,37.507011,-119.9837888,272524,,2016-05-31,10,0,Zillow ZIP-level market for Mariposa; mapped with Census 2020 ZCTA 95338 in Mariposa County.,,,,
95311 Coulterville,zcta,95311,Coulterville,37.705686,-120.0910354,217069,,2016-05-31,10,0,Zillow ZIP-level market for Coulterville; mapped with Census 2020 ZCTA 95311 in Mariposa County.,,,,
95389 Yosemite National Park,zcta,95389,Yosemite National Park,37.7841273,-119.4282634,421038,,2016-05-31,10,0,Zillow ZIP-level market for Yosemite National Park; mapped with Census 2020 ZCTA 95389 in Mariposa County.,,,,
95345 Midpines,zcta,95345,Midpines,37.5908935,-119.9634598,263540,,2016-05-31,10,0,Zillow ZIP-level market for Midpines; mapped with Census 2020 ZCTA 95345 in Mariposa County.,,,,
95306 Catheys Valley,zcta,95306,Catheys Valley,37.3628976,-120.1194236,340263,,2016-05-31,10,0,Zillow ZIP-level market for Catheys Valley; mapped with Census 2020 ZCTA 95306 in Mariposa County.,,,,
93623 Fish Camp,zcta,93623,Fish Camp,37.4765962,-119.6744327,355091,,2016-05-31,10,0,Zillow ZIP-level market for Fish Camp; mapped with Census 2020 ZCTA 93623 in Mariposa County.,,,,
