place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95747 Roseville,zcta,95747,Roseville,38.7784212,-121.3688294,429549,1843,2016-04-30,10,0,Zillow ZIP-level market for Roseville; mapped with Census 2020 ZCTA 95747 in Placer County.,,1843,Zillow ZORI,
95648 Lincoln,zcta,95648,Lincoln,38.9228115,-121.3120046,420301,,2016-04-30,10,0,Zillow ZIP-level market for Lincoln; mapped with Census 2020 ZCTA 95648 in Placer County.,,,,
95678 Roseville,zcta,95678,Roseville,38.7653528,-121.2884731,350354,1371,2016-04-30,10,0,Zillow ZIP-level market for Roseville; mapped with Census 2020 ZCTA 95678 in Placer County.,,1371,Zillow ZORI,
95765 Rocklin,zcta,95765,Rocklin,38.8197384,-121.2783211,473854,,2016-04-30,10,0,Zillow ZIP-level market for Rocklin; mapped with Census 2020 ZCTA 95765 in Placer County.,,,,
95661 Roseville,zcta,95661,Roseville,38.7412743,-121.2492663,424073,,2016-04-30,10,0,Zillow ZIP-level market for Roseville; mapped with Census 2020 ZCTA 95661 in Placer County.,,,,
95603 Auburn,zcta,95603,Auburn,38.911346,-121.0857601,410778,,2016-04-30,10,0,Zillow ZIP-level market for Auburn; mapped with Census 2020 ZCTA 95603 in Placer County.,,,,
95677 Rocklin,zcta,95677,Rocklin,38.79292,-121.232006,413387,,2016-04-30,10,0,Zillow ZIP-level market for Rocklin; mapped with Census 2020 ZCTA 95677 in Placer County.,,,,
95746 Granite Bay,zcta,95746,Granite Bay,38.7469238,-121.1664336,684468,,2016-04-30,10,0,Zillow ZIP-level market for Granite Bay; mapped with Census 2020 ZCTA 95746 in Placer County.,,,,
95602 Auburn,zcta,95602,Auburn,38.9914911,-121.1035441,442944,,2016-04-30,10,0,Zillow ZIP-level market for Auburn; mapped with Census 2020 ZCTA 95602 in Placer County.,,,,
95650 Loomis,zcta,95650,Loomis,38.8091745,-121.171375,526185,,2016-04-30,10,0,Zillow ZIP-level market for Loomis; mapped with Census 2020 ZCTA 95650 in Placer County.,,,,
95713 Colfax,zcta,95713,Colfax,39.0813467,-120.9323895,341158,,2016-04-30,10,0,Zillow ZIP-level market for Colfax; mapped with Census 2020 ZCTA 95713 in Placer County.,,,,
95658 Newcastle,zcta,95658,Newcastle,38.8811828,-121.1690138,540114,,2016-04-30,10,0,Zillow ZIP-level market for Newcastle; mapped with Census 2020 ZCTA 95658 in Placer County.,,,,
95722 Meadow Vista,zcta,95722,Meadow Vista,39.0098006,-121.0347072,453925,,2016-04-30,10,0,Zillow ZIP-level market for Meadow Vista; mapped with Census 2020 ZCTA 95722 in Placer County.,,,,
95631 Foresthill,zcta,95631,Foresthill,39.0549436,-120.7539748,334727,,2016-04-30,10,0,Zillow ZIP-level market for Foresthill; mapped with Census 2020 ZCTA 95631 in Placer County.,,,,
96143 Kings Beach,zcta,96143,Kings Beach,39.2605746,-120.0262906,458888,,2016-04-30,10,0,Zillow ZIP-level market for Kings Beach; mapped with Census 2020 ZCTA 96143 in Placer County.,,,,
95663 Penryn,zcta,95663,Penryn,38.8573725,-121.1825262,541432,,2016-04-30,10,0,Zillow ZIP-level market for Penryn; mapped with Census 2020 ZCTA 95663 in Placer County.,,,,
96145 Tahoe City,zcta,96145,Tahoe City,39.1809984,-120.151396,708712,,2016-04-30,10,0,Zillow ZIP-level market for Tahoe City; mapped with Census 2020 ZCTA 96145 in Placer County.,,,,
96146 Olympic Valley,zcta,96146,Olympic Valley,39.2158973,-120.2451697,787199,,2016-04-30,10,0,Zillow ZIP-level market for Olympic Valley; mapped with Census 2020 ZCTA 96146 in Placer County.,,,,
95668 Pleasant Grove,zcta,95668,Pleasant Grove,38.8275549,-121.4951816,471438,,2016-04-30,10,0,Zillow ZIP-level market for Pleasant Grove; mapped with Census 2020 ZCTA 95668 in Placer County.,,,,
96148 Tahoe Vista,zcta,96148,Tahoe Vista,39.249777,-120.0575895,554042,,2016-04-30,10,0,Zillow ZIP-level market for Tahoe Vista; mapped with Census 2020 ZCTA 96148 in Placer County.,,,,
96140 Carnelian Bay,zcta,96140,Carnelian Bay,39.2320185,-120.0963996,671026,,2016-04-30,10,0,Zillow ZIP-level market for Carnelian Bay; mapped with Census 2020 ZCTA 96140 in Placer County.,,,,
96142 Tahoma,zcta,96142,Tahoma,38.9986311,-120.1038814,515573,,2016-04-30,10,0,Zillow ZIP-level market for Tahoma; mapped with Census 2020 ZCTA 96142 in Placer County.,,,,
95703 Applegate,zcta,95703,Applegate,38.9890274,-120.9877751,384394,,2016-04-30,10,0,Zillow ZIP-level market for Applegate; mapped with Census 2020 ZCTA 95703 in Placer County.,,,,
95681 Sheridan,zcta,95681,Sheridan,38.9980915,-121.354198,298853,,2016-04-30,10,0,Zillow ZIP-level market for Sheridan; mapped with Census 2020 ZCTA 95681 in Placer County.,,,,
95701 Alta,zcta,95701,Alta,39.226549,-120.7670224,295189,,2016-04-30,10,0,Zillow ZIP-level market for Alta; mapped with Census 2020 ZCTA 95701 in Placer County.,,,,
95715 nan,zcta,95715,nan,39.2766508,-120.644012,235219,,2016-04-30,10,0,Zillow ZIP-level market for nan; mapped with Census 2020 ZCTA 95715 in Placer County.,,,,
95728 Soda Springs,zcta,95728,Soda Springs,39.2946534,-120.4014066,460698,,2016-04-30,10,0,Zillow ZIP-level market for Soda Springs; mapped with Census 2020 ZCTA 95728 in Placer County.,,,,
95714 Dutch Flat,zcta,95714,Dutch Flat,39.2011586,-120.8367976,259135,,2016-04-30,10,0,Zillow ZIP-level market for Dutch Flat; mapped with Census 2020 ZCTA 95714 in Placer County.,,,,
96141 Homewood,zcta,96141,Homewood,39.0989284,-120.2052313,801966,,2016-04-30,10,0,Zillow ZIP-level market for Homewood; mapped with Census 2020 ZCTA 96141 in Placer County.,,,,
