place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,212928,,2016-04-30,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,166021,,2016-04-30,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,144782,,2016-04-30,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,214342,,2016-05-31,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,166511,,2016-05-31,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,144781,,2016-05-31,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,215641,,2016-06-30,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,167298,,2016-06-30,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,145333,,2016-06-30,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,216053,,2016-07-31,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,167390,,2016-07-31,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,145364,,2016-07-31,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,216689,,2016-08-31,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,167757,,2016-08-31,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,145593,,2016-08-31,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,217755,,2016-09-30,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,167993,,2016-09-30,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,145604,,2016-09-30,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,219488,,2016-10-31,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
95988 Willows,zcta,95988,Willows,39.4971914,-122.2875675,168745,,2016-10-31,10,0,Zillow ZIP-level market for Willows; mapped with Census 2020 ZCTA 95988 in Glenn County.,,,,
95951 Hamilton City,zcta,95951,Hamilton City,39.7225122,-122.0044327,146288,,2016-10-31,10,0,Zillow ZIP-level market for Hamilton City; mapped with Census 2020 ZCTA 95951 in Glenn County.,,,,
95963 Orland,zcta,95963,Orland,39.7478323,-122.3033595,221513,,2016-11-30,10,0,Zillow ZIP-level market for Orland; mapped with Census 2020 ZCTA 95963 in Glenn County.,,,,
