place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
92336 Fontana,zcta,92336,Fontana,34.1368622,-117.4603364,390993,,2016-04-30,10,0,Zillow ZIP-level market for Fontana; mapped with Census 2020 ZCTA 92336 in San Bernardino County.,,,,
92335 Fontana,zcta,92335,Fontana,34.0873327,-117.465158,271781,,2016-04-30,10,0,Zillow ZIP-level market for Fontana; mapped with Census 2020 ZCTA 92335 in San Bernardino County.,,,,
92345 Hesperia,zcta,92345,Hesperia,34.3609721,-117.3130389,196076,,2016-04-30,10,0,Zillow ZIP-level market for Hesperia; mapped with Census 2020 ZCTA 92345 in San Bernardino County.,,,,
92376 Rialto,zcta,92376,Rialto,34.1105366,-117.3800214,261955,,2016-04-30,10,0,Zillow ZIP-level market for Rialto; mapped with Census 2020 ZCTA 92376 in San Bernardino County.,,,,
91710 Chino,zcta,91710,Chino,34.0050965,-117.6825248,446674,,2016-04-30,10,0,Zillow ZIP-level market for Chino; mapped with Census 2020 ZCTA 91710 in San Bernardino County.,,,,
91709 Chino Hills,zcta,91709,Chino Hills,33.9429693,-117.7256483,552183,1997,2016-04-30,10,0,Zillow ZIP-level market for Chino Hills; mapped with Census 2020 ZCTA 91709 in San Bernardino County.,,1997,Zillow ZORI,
91730 Rancho Cucamonga,zcta,91730,Rancho Cucamonga,34.1004019,-117.5812819,394430,1762,2016-04-30,10,0,Zillow ZIP-level market for Rancho Cucamonga; mapped with Census 2020 ZCTA 91730 in San Bernardino County.,,1762,Zillow ZORI,
92407 San Bernardino,zcta,92407,San Bernardino,34.2251623,-117.3884871,261832,,2016-04-30,10,0,Zillow ZIP-level market for San Bernardino; mapped with Census 2020 ZCTA 92407 in San Bernardino County.,,,,
92404 San Bernardino,zcta,92404,San Bernardino,34.1786334,-117.2389262,210716,,2016-04-30,10,0,Zillow ZIP-level market for San Bernardino; mapped with Census 2020 ZCTA 92404 in San Bernardino County.,,,,
91761 Ontario,zcta,91761,Ontario,34.0356016,-117.5915284,385643,,2016-04-30,10,0,Zillow ZIP-level market for Ontario; mapped with Census 2020 ZCTA 91761 in San Bernardino County.,,,,
92346 Highland,zcta,92346,Highland,34.1240486,-117.1775733,289962,,2016-04-30,10,0,Zillow ZIP-level market for Highland; mapped with Census 2020 ZCTA 92346 in San Bernardino County.,,,,
92392 Victorville,zcta,92392,Victorville,34.4790151,-117.408834,212209,,2016-04-30,10,0,Zillow ZIP-level market for Victorville; mapped with Census 2020 ZCTA 92392 in San Bernardino County.,,,,
