place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,203832,,2016-04-30,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,201103,,2016-04-30,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,198128,,2016-04-30,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,218789,,2016-04-30,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,204965,,2016-04-30,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,229382,,2016-04-30,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,141562,,2016-04-30,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,246438,,2016-04-30,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,204500,,2016-05-31,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,202273,,2016-05-31,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,199656,,2016-05-31,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,219902,,2016-05-31,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,205613,,2016-05-31,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,231046,,2016-05-31,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,143146,,2016-05-31,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,249088,,2016-05-31,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,205241,,2016-06-30,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,203661,,2016-06-30,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,201456,,2016-06-30,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,221233,,2016-06-30,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,206657,,2016-06-30,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,232806,,2016-06-30,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,144746,,2016-06-30,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,250788,,2016-06-30,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,205096,,2016-07-31,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,204925,,2016-07-31,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,202498,,2016-07-31,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,222298,,2016-07-31,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,206726,,2016-07-31,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,233783,,2016-07-31,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,144703,,2016-07-31,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,250559,,2016-07-31,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,205011,,2016-08-31,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,206067,,2016-08-31,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,202712,,2016-08-31,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,223203,,2016-08-31,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,206643,,2016-08-31,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,234592,,2016-08-31,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,144410,,2016-08-31,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,250186,,2016-08-31,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,204631,,2016-09-30,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,206678,,2016-09-30,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,202333,,2016-09-30,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,224008,,2016-09-30,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,206331,,2016-09-30,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,235336,,2016-09-30,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,143896,,2016-09-30,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,248831,,2016-09-30,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,205172,,2016-10-31,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,207214,,2016-10-31,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,202365,,2016-10-31,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,224952,,2016-10-31,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,207429,,2016-10-31,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,236746,,2016-10-31,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,144933,,2016-10-31,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,248887,,2016-10-31,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,206491,,2016-11-30,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,207668,,2016-11-30,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,202889,,2016-11-30,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,226239,,2016-11-30,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,208968,,2016-11-30,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,238579,,2016-11-30,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,146169,,2016-11-30,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
92004 Borrego Springs,zcta,92004,Borrego Springs,33.197705,-116.1674625,250064,,2016-11-30,10,0,Zillow ZIP-level market for Borrego Springs; mapped with Census 2020 ZCTA 92004 in Imperial County.,,,,
92243 El Centro,zcta,92243,El Centro,32.7701971,-115.5985905,208193,,2016-12-31,10,0,Zillow ZIP-level market for El Centro; mapped with Census 2020 ZCTA 92243 in Imperial County.,,,,
92231 Calexico,zcta,92231,Calexico,32.6876362,-115.5643729,208441,,2016-12-31,10,0,Zillow ZIP-level market for Calexico; mapped with Census 2020 ZCTA 92231 in Imperial County.,,,,
92227 Brawley,zcta,92227,Brawley,32.99005,-115.3368521,203724,,2016-12-31,10,0,Zillow ZIP-level market for Brawley; mapped with Census 2020 ZCTA 92227 in Imperial County.,,,,
92251 Imperial,zcta,92251,Imperial,32.8692297,-115.7140392,227612,,2016-12-31,10,0,Zillow ZIP-level market for Imperial; mapped with Census 2020 ZCTA 92251 in Imperial County.,,,,
92250 Holtville,zcta,92250,Holtville,32.7773731,-115.1279806,210724,,2016-12-31,10,0,Zillow ZIP-level market for Holtville; mapped with Census 2020 ZCTA 92250 in Imperial County.,,,,
92249 Heber,zcta,92249,Heber,32.7260677,-115.4821502,240157,,2016-12-31,10,0,Zillow ZIP-level market for Heber; mapped with Census 2020 ZCTA 92249 in Imperial County.,,,,
92233 Calipatria,zcta,92233,Calipatria,33.1473839,-115.5004049,147349,,2016-12-31,10,0,Zillow ZIP-level market for Calipatria; mapped with Census 2020 ZCTA 92233 in Imperial County.,,,,
