place,kind,zcta,city,latitude,longitude,zhvi,zori,date,label_dx,label_dy,note,hudSafmr,blendedRent,rentSource,hudFiscalYear
95482 Ukiah,zcta,95482,Ukiah,39.1368043,-123.2610887,417269,,2016-04-30,10,0,Zillow ZIP-level market for Ukiah; mapped with Census 2020 ZCTA 95482 in Mendocino County.,,,,
95437 Fort Bragg,zcta,95437,Fort Bragg,39.443949,-123.68592,414735,,2016-04-30,10,0,Zillow ZIP-level market for Fort Bragg; mapped with Census 2020 ZCTA 95437 in Mendocino County.,,,,
95490 Willits,zcta,95490,Willits,39.4793198,-123.3481599,352909,,2016-04-30,10,0,Zillow ZIP-level market for Willits; mapped with Census 2020 ZCTA 95490 in Mendocino County.,,,,
95470 Redwood Valley,zcta,95470,Redwood Valley,39.2990232,-123.239243,492015,,2016-04-30,10,0,Zillow ZIP-level market for Redwood Valley; mapped with Census 2020 ZCTA 95470 in Mendocino County.,,,,
95428 Covelo,zcta,95428,Covelo,39.8248031,-123.1796086,267814,,2016-04-30,10,0,Zillow ZIP-level market for Covelo; mapped with Census 2020 ZCTA 95428 in Mendocino County.,,,,
95445 Gualala,zcta,95445,Gualala,38.8325203,-123.4725321,489978,,2016-04-30,10,0,Zillow ZIP-level market for Gualala; mapped with Census 2020 ZCTA 95445 in Mendocino County.,,,,
95454 Laytonville,zcta,95454,Laytonville,39.7840478,-123.4957895,378506,,2016-04-30,10,0,Zillow ZIP-level market for Laytonville; mapped with Census 2020 ZCTA 95454 in Mendocino County.,,,,
95460 Mendocino,zcta,95460,Mendocino,39.305245,-123.7486159,819837,,2016-04-30,10,0,Zillow ZIP-level market for Mendocino; mapped with Census 2020 ZCTA 95460 in Mendocino County.,,,,
95449 Hopland,zcta,95449,Hopland,38.9361372,-123.1194447,429830,,2016-04-30,10,0,Zillow ZIP-level market for Hopland; mapped with Census 2020 ZCTA 95449 in Mendocino County.,,,,
95410 Albion,zcta,95410,Albion,39.2349401,-123.6998535,598457,,2016-04-30,10,0,Zillow ZIP-level market for Albion; mapped with Census 2020 ZCTA 95410 in Mendocino County.,,,,
95459 Manchester,zcta,95459,Manchester,38.9766284,-123.6048542,514380,,2016-04-30,10,0,Zillow ZIP-level market for Manchester; mapped with Census 2020 ZCTA 95459 in Mendocino County.,,,,
95482 Ukiah,zcta,95482,Ukiah,39.1368043,-123.2610887,418063,,2016-05-31,10,0,Zillow ZIP-level market for Ukiah; mapped with Census 2020 ZCTA 95482 in Mendocino County.,,,,
95437 Fort Bragg,zcta,95437,Fort Bragg,39.443949,-123.68592,416180,,2016-05-31,10,0,Zillow ZIP-level market for Fort Bragg; mapped with Census 2020 ZCTA 95437 in Mendocino County.,,,,
95490 Willits,zcta,95490,Willits,39.4793198,-123.3481599,354762,,2016-05-31,10,0,Zillow ZIP-level market for Willits; mapped with Census 2020 ZCTA 95490 in Mendocino County.,,,,
95470 Redwood Valley,zcta,95470,Redwood Valley,39.2990232,-123.239243,491661,,2016-05-31,10,0,Zillow ZIP-level market for Redwood Valley; mapped with Census 2020 ZCTA 95470 in Mendocino County.,,,,
95428 Covelo,zcta,95428,Covelo,39.8248031,-123.1796086,267344,,2016-05-31,10,0,Zillow ZIP-level market for Covelo; mapped with Census 2020 ZCTA 95428 in Mendocino County.,,,,
95445 Gualala,zcta,95445,Gualala,38.8325203,-123.4725321,487120,,2016-05-31,10,0,Zillow ZIP-level market for Gualala; mapped with Census 2020 ZCTA 95445 in Mendocino County.,,,,
